Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
259.0,326.0,57.0,90.0,0.0,0.0,0.0,2020/03/09,292.0,73.0,73.0,0.0,2020-03-09,73.0,0.0,0.0
303.0,376.0,82.0,122.0,47.06052502111157,28.399060321384397,0.13901013280684651,2020/03/10,339.0605250211116,101.3990603213844,101.26005018857755,0.13901013280684651,2020-03-10,89.0,16.0,0.0
350.0,428.0,110.0,155.0,49.531042294477174,30.734586076713427,0.18602332464736218,2020/03/11,388.59156731558875,132.13364639809782,131.80861294064363,0.3250334574542087,2020-03-11,99.0,10.0,0.0
399.0,481.0,141.0,191.0,51.295778729026495,33.04722540485548,0.2366857183929117,2020/03/12,439.88734604461524,165.1808718029533,164.6191526271062,0.5617191758471204,2020-03-12,99.0,0.0,1.0
449.0,536.0,173.0,229.0,51.933795138025175,35.23332355597853,0.29087737305892636,2020/03/13,491.8211411826404,200.41419535893183,199.5615988100258,0.8525965489060467,2020-03-13,190.0,91.0,1.0
497.0,589.0,208.0,268.0,50.86325393315076,37.142960614087116,0.3482778044957333,2020/03/14,542.6843951157912,237.55715597301895,236.35628161961716,1.20087435340178,2020-03-14,228.0,38.0,1.0
543.0,638.0,244.0,309.0,47.28585808573155,38.56341203963592,0.40827992620665654,2020/03/15,589.9702532015227,276.12056801265487,274.5114137330464,1.6091542796084366,2020-03-15,331.0,103.0,11.0
587.0,685.0,281.0,351.0,45.42845464477659,39.363902606702766,0.46992566097069277,2020/03/16,635.3987078462993,315.48447061935764,313.40539067877853,2.0790799405791294,2020-03-16,352.0,21.0,12.0
637.0,740.0,319.0,393.0,52.88347711856579,40.50013940421161,0.5328639850661894,2020/03/17,688.2821849648651,355.98461002356925,353.3726660979239,2.6119439256453187,2020-03-17,387.0,35.0,12.0
696.0,803.0,360.0,438.0,60.921053136301225,42.42527494807996,0.5981543127174209,2020/03/18,749.2032381011663,398.4098849716492,395.1997867332865,3.2100982383627397,2020-03-18,418.0,31.0,13.0
763.0,875.0,403.0,485.0,69.34648170887249,45.087270304092044,0.6670105059316938,2020/03/19,818.5497198100388,443.49715527574125,439.6200465314468,3.8771087442944334,2020-03-19,464.0,46.0,13.0
839.0,956.0,449.0,536.0,78.2844116558772,48.45283342078085,0.7405749518759897,2020/03/20,896.834131465916,491.9499886965221,487.33230500035165,4.617683696170423,2020-03-20,495.0,31.0,19.0
924.0,1047.0,499.0,591.0,87.85038998179971,52.506598802967176,0.819949655975889,2020/03/21,984.6845214477157,544.4565874994893,539.0189541473429,5.437633352146312,2020-03-21,530.0,35.0,25.0
1040.0,1171.0,576.0,674.0,120.44849197995791,79.54341250051073,21.562366647853686,2020/03/22,1105.1330134276736,624.0,597.0,27.0,2020-03-22,624.0,94.0,27.0
1160.0,1298.0,637.0,740.0,123.56527554850527,63.54085928670543,1.0035670996265047,2020/03/23,1228.698288976179,687.5408592867054,659.537292187079,28.003567099626505,,,,
1293.0,1437.0,705.0,813.0,135.80268242957072,71.28012044611273,1.109588525864197,2020/03/24,1364.5009714057496,758.8209797328182,729.7078241073275,29.113155625490702,,,,
1438.0,1590.0,782.0,896.0,149.3237031076751,79.62165302046185,1.2282748847995215,2020/03/25,1513.8246745134247,838.44263275328,808.1012022429898,30.341430510290223,,,,
1598.0,1759.0,868.0,987.0,164.18186026370267,88.64830687263736,1.3606351817767042,2020/03/26,1678.0065347771274,927.0909396259174,895.3888739338504,31.702065692066927,,,,
1774.0,1943.0,963.0,1089.0,180.43107052341702,98.43959532665554,1.507805836554521,2020/03/27,1858.4376053005444,1025.530534952573,992.3206634239515,33.20987152862145,,,,
1968.0,2146.0,1069.0,1201.0,198.12225484564942,109.07186974820229,1.67104635386562,2020/03/28,2056.559860146194,1134.6024047007752,1099.7214868182882,34.88091788248707,,,,
2181.0,2368.0,1186.0,1325.0,217.29939176506696,120.61814084984871,1.8517334230494313,2020/03/29,2273.859251911261,1255.220545550624,1218.4878942450873,36.7326513055365,,,,
2414.0,2611.0,1316.0,1462.0,237.9952680753613,133.147402835011,2.0513551740349314,2020/03/30,2511.854519986622,1388.367948385635,1349.5839419060635,38.78400647957143,,,,
2669.0,2876.0,1459.0,1612.0,260.2265749388289,146.72349495679373,2.271503543075575,2020/03/31,2772.081094925451,1535.0914433424286,1494.0359333197816,41.055510022647006,,,,
2948.0,3165.0,1616.0,1778.0,283.9887194608973,161.4035298499116,2.5138648984535195,2020/04/01,3056.0698143863483,1696.4949731923402,1652.9255982712398,43.569374921100525,,,,
3252.0,3479.0,1789.0,1959.0,309.24992698370306,177.23584121060367,2.7802073867700585,2020/04/02,3365.3197413700514,1873.730814402944,1827.3812320950733,46.349582307870584,,,,
3583.0,3821.0,1979.0,2158.0,335.9450451748098,194.25745613087247,3.0723648748329353,2020/04/03,3701.264786544861,2067.9882705338164,2018.566323351113,49.42194718270352,,,,
3941.0,4191.0,2187.0,2375.0,363.9690746754027,212.49114006619766,3.3922164962717005,2020/04/04,4065.233861220264,2280.479410600014,2227.665246921039,52.81416367897522,,,,
4328.0,4590.0,2414.0,2611.0,393.1706799821368,231.94201199420513,3.741661181284293,2020/04/05,4458.404541202401,2512.421422594219,2455.8655977339595,56.55582486025951,,,,
4745.0,5019.0,2663.0,2868.0,423.34601842783013,252.59380567856624,4.1225863604723685,2020/04/06,4881.750559630231,2765.0152282727854,2704.3368170520534,60.67841122073188,,,,
5193.0,5480.0,2932.0,3148.0,454.2333467249682,274.4049105261838,4.536830774301244,2020/04/07,5335.983906355199,3039.420138798969,2974.204896803936,65.21524199503313,,,,
5672.0,5971.0,3224.0,3451.0,485.5089384232306,297.30429650413635,4.98614078323061,2020/04/08,5821.49284477843,3336.7244353031056,3266.5230525248417,70.20138277826373,,,,
6182.0,6495.0,3540.0,3777.0,516.7849537563761,321.1875582566472,5.4721203169712425,2020/04/09,6338.277798534806,3657.911993559753,3582.238490464518,75.67350309523498,,,,
6724.0,7049.0,3880.0,4128.0,547.6099304270538,345.91331258166656,5.996174895900467,2020/04/10,6885.8877289618595,4003.8253061414193,3922.155628150284,81.66967799113544,,,,
7295.0,7633.0,4246.0,4506.0,577.4728130547601,371.30030646026216,6.559450205813988,2020/04/11,7463.36054201662,4375.1256126016815,4286.896484404732,88.22912819694943,,,,
7894.0,8246.0,4637.0,4908.0,605.8106017948912,397.1255053292098,7.16276749128555,2020/04/12,8069.171143811511,4772.251117930891,4676.859222242656,95.39189568823498,,,,
8519.0,8884.0,5055.0,5337.0,632.0209619790821,423.1236112404886,7.806556469935103,2020/04/13,8701.192105790593,5195.37472917138,5092.17627701321,103.19845215817008,,,,
9167.0,9547.0,5498.0,5792.0,655.4792033196354,448.98838408079155,8.49078930324113,2020/04/14,9356.671309110228,5644.363113252171,5532.67387179076,111.68924146141121,,,,
9836.0,10229.0,5966.0,6272.0,675.560032902009,474.3760693433942,9.214918385135547,2020/04/15,10032.231342012237,6118.739182595566,5997.835022749019,120.90415984654676,,,,
10521.0,10927.0,6459.0,6778.0,691.6631486956903,498.91121678966374,9.977821544013366,2020/04/16,10723.894490707928,6617.650399385229,6486.768417994669,130.88198139056013,,,,
11217.0,11637.0,6975.0,7306.0,703.2416138460667,522.1949270740051,10.77775837972925,2020/04/17,11427.136104553994,7139.8453264592345,6998.1855866889455,141.65973977028938,,,,
11921.0,12353.0,7512.0,7856.0,709.8315700923831,543.8157137445196,11.612342548263314,2020/04/18,12136.967674646377,7683.661040203754,7530.388957885201,153.2720823185527,,,,
12626.0,13071.0,8069.0,8426.0,711.0806584840175,563.362330316756,12.478532343796388,2020/04/19,12848.048333130395,8247.02337052051,8081.272755858161,165.75061466234908,,,,
13327.0,13783.0,8644.0,9012.0,706.7732439086103,580.4383639487769,13.372643751072445,2020/04/20,13554.821577039005,8827.461734469287,8648.338476055866,179.12325841342152,,,,
14019.0,14485.0,9233.0,9613.0,696.8497740454059,594.67771213981,14.290387281376383,2020/04/21,14251.671351084411,9422.139446609097,9228.725800914299,193.4136456947979,,,,
14694.0,15173.0,9832.0,10224.0,681.4178644658768,605.7600660123953,15.226930425855642,2020/04/22,14933.089215550288,10027.899512621492,9819.258936500839,208.64057612065355,,,,
15350.0,15839.0,10439.0,10844.0,660.7543514698191,613.4252420710745,16.176982569369272,2020/04/23,15593.843567020107,10641.324754692567,10416.507196002543,224.81755869002282,,,,
15980.0,16479.0,11052.0,11467.0,635.2962958082499,617.485635193314,17.134902473547044,2020/04/24,16229.139862828357,11258.81038988588,11016.857928722311,241.95246116356986,,,,
16581.0,17090.0,11664.0,12091.0,605.6224265048259,617.8353641793929,18.094822422454,2020/04/25,16834.762289333183,11876.645754065274,11616.59847047925,260.04728358602387,,,,
17149.0,17666.0,12272.0,12711.0,572.4254185402715,614.4557459631324,19.050784201194517,2020/04/26,17407.187707873454,12491.101500028406,12212.003432241188,279.0980677872184,,,,
17682.0,18207.0,12875.0,13323.0,536.4777881432055,607.4164091626753,19.99688000655226,2020/04/27,17943.66549601666,13098.517909191081,12799.422961397311,299.09494779377064,,,,
18177.0,18708.0,13466.0,13926.0,498.5940278526432,596.8721012556907,20.927391389246623,2020/04/28,18442.259523869303,13695.390010446772,13375.367671263755,320.02233918301727,,,,
18633.0,19172.0,14044.0,14513.0,459.5921380281252,583.0553098212222,21.836919659521584,2020/04/29,18901.851661897428,14278.445320267994,13936.586061425456,341.85925884253885,,,,
19050.0,19595.0,14607.0,15084.0,420.25769076194047,566.2653957007533,22.72050121433432,2020/04/30,19322.10935265937,14844.710715968748,14480.130955911874,364.57976005687317,,,,
19429.0,19979.0,15149.0,15635.0,381.3129129921108,546.8550865888392,23.57370325307545,2020/05/01,19703.42226565148,15391.565802557587,15003.412339247638,388.1534633099486,,,,
19770.0,20324.0,15670.0,16164.0,343.3926571562115,525.2153111946718,24.39269622040746,2020/05/02,20046.81492280769,15916.781113752259,15504.234954221902,412.5461595303561,,,,
20074.0,20634.0,16168.0,16670.0,307.0282717072769,501.7594657283262,25.174301257039133,2020/05/03,20353.843194514968,16418.540579480585,15980.82011869319,437.7204607873952,,,,
20345.0,20908.0,16641.0,17151.0,272.6394399032215,476.90812288698726,25.916012708238384,2020/05/04,20626.48263441819,16895.448702367572,16431.81222887194,463.6364734956336,,,,
20584.0,21150.0,17089.0,17605.0,240.53334521788565,451.0749948997254,26.615997262843052,2020/05/05,20867.015979636075,17346.523697267297,16856.27122650882,490.25247075847665,,,,
20794.0,21362.0,17510.0,18033.0,210.91016942482747,424.6548983628927,27.273071512018305,2020/05/06,21077.926149060902,17771.17859563019,17253.653053359696,517.525542270495,,,,
20976.0,21548.0,17906.0,18434.0,183.87300039681213,398.0139497259588,27.88666325392319,2020/05/07,21261.799149457715,18169.19254535615,17623.78033983173,545.4122055244181,,,,
21135.0,21709.0,18274.0,18808.0,159.44118800726574,371.482363711606,28.45675820522399,2020/05/08,21421.24033746498,18540.674909067755,17966.805945338114,573.8689637296421,,,,
21272.0,21846.0,18617.0,19156.0,137.56516757629288,345.3497284964942,28.98383752588893,2020/05/09,21558.805505041273,18886.02463756425,18283.171836308717,602.8528012555311,,,,
21390.0,21966.0,18935.0,19478.0,118.14152413841293,319.86261322663995,29.46881011612811,2020/05/10,21676.947029179686,19205.88725079089,18573.56563941923,632.3216113716592,,,,
21489.0,22068.0,19228.0,19776.0,101.02750799235582,295.2241504338963,29.912942651613548,2020/05/11,21777.974537172042,19501.111401224785,18838.876847201514,662.2345540232727,,,,
21575.0,22154.0,19497.0,20049.0,86.05405770716607,271.59534034296667,30.31779028643598,2020/05/12,21864.028594879208,19772.706741567752,19080.154397258044,692.5523443097087,,,,
21647.0,22227.0,19745.0,20300.0,73.03705572713443,249.0975668851861,30.68513092709145,2020/05/13,21937.065650606342,20021.804308452938,19298.566833216137,723.2374752368002,,,,
21709.0,22290.0,19971.0,20529.0,61.78656144458364,227.8160595340305,31.01690411525533,2020/05/14,21998.852212050926,20249.62036798697,19495.365988634912,754.2543793520555,,,,
21760.0,22343.0,20177.0,20739.0,52.1140656066018,207.80388290108385,31.31515623739938,2020/05/15,22050.966277657528,20457.424250888052,19671.8547152986,785.5695355894549,,,,
21804.0,22386.0,20365.0,20929.0,43.837887471192516,189.0862067758062,31.58199232280697,2020/05/16,22094.80416512872,20646.51045766386,19829.358929751597,817.1515279122618,,,,
21840.0,22424.0,20536.0,21102.0,36.78694471325434,171.66461067407363,31.819534821904085,2020/05/17,22131.591109841975,20818.175068337932,19969.204005603766,848.9710627341659,,,,
21872.0,22454.0,20690.0,21258.0,30.803146208814724,155.52123536924773,32.02988925873922,2020/05/18,22162.39425605079,20973.69630370718,20092.695351714276,881.0009519929051,,,,
21897.0,22481.0,20830.0,21399.0,25.742677311165608,140.62266412570898,32.21511632464569,2020/05/19,22188.136933361955,21114.31896783289,20201.10289951534,913.2160683175508,,,,
21918.0,22503.0,20956.0,21527.0,21.476428135225433,126.92344334256995,32.37720998040538,2020/05/20,22209.61336149718,21241.24241117546,20295.6491328775,945.5932782979562,,,,
21936.0,22520.0,21070.0,21643.0,17.88978778220553,114.36920500598353,32.51808086389951,2020/05/21,22227.503149279386,21355.611616181443,20377.500257019587,978.1113591618557,,,,
21951.0,22535.0,21172.0,21746.0,14.881996566644375,102.8993689301351,32.639544409473956,2020/05/22,22242.38514584603,21458.510985111578,20447.760081540247,1010.7509035713297,,,,
21962.0,22547.0,21264.0,21840.0,12.365210501178808,92.44943650330606,32.74331295409593,2020/05/23,22254.75035634721,21550.960421614884,20507.46620508946,1043.4942165254256,,,,
21973.0,22557.0,21347.0,21923.0,10.263400863477727,82.95289495684847,32.83099121537407,2020/05/24,22265.013757210687,21633.913316571732,20557.588108830932,1076.3252077407997,,,,
21982.0,22566.0,21420.0,21998.0,8.511180986908585,74.34276524115558,32.90407452813156,2020/05/25,22273.524938197595,21708.256081812888,20599.026799543957,1109.2292822689312,,,,
21989.0,22573.0,21487.0,22065.0,7.052627411252615,66.55283091585807,32.963949294495706,2020/05/26,22280.577565608848,21774.808912728746,20632.61568116532,1142.193231563427,,,,
21995.0,22579.0,21545.0,22124.0,5.840141842447338,59.51858721214012,33.01189517053149,2020/05/27,22286.417707451295,21834.327499940886,20659.122373206927,1175.2051267339584,,,,
22000.0,22584.0,21598.0,22177.0,4.833383645553113,53.177950174562284,33.04908856660518,2020/05/28,22291.25109109685,21887.50545011545,20679.251234814885,1208.2542153005636,,,,
22002.0,22589.0,21646.0,22226.0,3.9982904344687995,47.47176299704006,33.07660710952268,2020/05/29,22295.249381531317,21934.97721311249,20693.6463907024,1241.3308224100863,,,,
