city,GDP
威海市,3641.48
泰安市,3651.5
沧州市,3676.4
宁夏回族自治区,3705.2
鄂尔多斯市,3763.2
贵阳市,3798.45
东营市,3801.78
榆林市,3848.62
包头市,3867.63
太原市,3884.48
漳州市,3947.63
镇江市,4050
宜昌市,4064.18
金华市,4100.23
惠州市,4103.05
南宁市,4118.83
襄阳市,4309.8
洛阳市,4640.8
济宁市,4650.57
临沂市,4717.8
厦门市,4791.41
海南省,4832.1
嘉兴市,4871.98
台州市,4874.67
淄博市,5068.4
泰州市,5107.63
昆明市,5206.9
南昌市,5274.67
绍兴市,5416.9
扬州市,5466.17
盐城市,5487.08
温州市,6006.16
石家庄市,6082.6
潍坊市,6156.8
沈阳市,6292.4
哈尔滨市,6300.5
唐山市,6530.15
徐州市,6755.23
常州市,7050.27
长春市,7175.7
大连市,7668.48
合肥市,7822.9
烟台市,7832.58
济南市,7856.6
福州市,7856.81
甘肃省,8246.1
东莞市,8278.59
西安市,8349.86
南通市,8427
泉州市,8467.98
佛山市,9935.88
郑州市,10143.32
宁波市,10745.5
长沙市,11003.41
无锡市,11438.62
青岛市,12001.5
新疆维吾尔自治区,12199.1
南京市,12820.4
杭州市,13509.15
贵州省,14806.5
武汉市,14847.29
成都市,15342.77
黑龙江省,16361.6
山西省,16818.1
内蒙古自治区,17289.2
云南省,17881.1
苏州市,18597.47
天津市,18809.6
广西壮族自治区,20352.5
重庆市,20363.2
江西省,21984.8
广州市,22859.35
深圳市,24221.98
陕西省,24438.3
辽宁省,25315.4
安徽省,30006.8
北京市,30320
上海市,32679.9
福建省,35804
河北省,36010.3
湖南省,36425.8
湖北省,39366.6
四川省,40678.1
河南省,48055.9
浙江省,56197.2
山东省,76469.7
江苏省,92595.4
广东省,97277.8
三沙市,0.0
双河市,0.0
可克达拉市,0.0
昆玉市,0.0
