日期,预测确诊,预测在治,预测新增,预测死亡,预测治愈,实际确诊,实际在治,实际新增,实际死亡,实际治愈,国家,编号
4 / 26,65515,41890,1,1183,22442,,,,,,Germany,495
3 / 13,4299,3810,926,199,289,4209,3883,1205,133,193,Spain,496
3 / 14,5475,4830,1175,173,470,6043,5335,1834,191,517,Spain,497
3 / 15,6957,6115,1481,282,559,7753,6894,1710,288,571,Spain,498
3 / 16,8806,7715,1849,383,708,9407,8527,1654,309,571,Spain,499
3 / 17,11087,9682,2280,675,729,11297,10276,1890,491,530,Spain,500
3 / 18,13858,12061,2771,660,1136,13716,12090,2419,598,1028,Spain,501
3 / 19,17168,14884,3309,934,1348,17147,15273,3431,767,1107,Spain,502
3 / 20,21034,18154,3866,1141,1738,20410,17779,3263,1043,1588,Spain,503
3 / 21,25440,21838,4405,1639,1963,24926,22012,4516,1326,1588,Spain,504
3 / 22,30318,25853,4877,1820,2644,28768,24421,3842,1772,2575,Spain,505
3 / 23,35547,30070,5228,2233,3242,35136,29470,6368,2311,3355,Spain,506
3 / 24,40960,34318,5413,2825,3817,39885,33283,4749,2808,3794,Spain,507
3 / 25,49515,40501,8554,3647,5367,49515,40501,9630,3647,5367,Spain,508
3 / 26,54759,44210,5244,4045,6502,57786,46406,8271,4365,7015,Spain,509
3 / 27,59666,47457,4907,4327,7881,65719,51224,7933,5138,9357,Spain,510
3 / 28,64062,50086,4396,4954,9022,,,,,,Spain,511
3 / 29,67858,52031,3795,5609,10216,,,,,,Spain,512
3 / 30,71032,53297,3173,6286,11448,,,,,,Spain,513
3 / 31,73615,53938,2583,6974,12702,,,,,,Spain,514
4 / 1,75669,54037,2054,7668,13964,,,,,,Spain,515
4 / 2,77273,53690,1603,8359,15223,,,,,,Spain,516
4 / 3,78505,52990,1232,9044,16470,,,,,,Spain,517
4 / 4,79440,52024,935,9718,17698,,,,,,Spain,518
4 / 5,80143,50864,702,10378,18900,,,,,,Spain,519
4 / 6,80668,49571,524,11022,20073,,,,,,Spain,520
4 / 7,81057,48191,389,11649,21216,,,,,,Spain,521
4 / 8,81345,46761,288,12259,22325,,,,,,Spain,522
4 / 9,81558,45307,212,12849,23401,,,,,,Spain,523
4 / 10,81715,43851,157,13421,24442,,,,,,Spain,524
4 / 11,81831,42406,116,13975,25450,,,,,,Spain,525
4 / 12,81917,40983,86,14509,26424,,,,,,Spain,526
4 / 13,81981,39589,63,15026,27365,,,,,,Spain,527
4 / 14,82029,38228,47,15525,28274,,,,,,Spain,528
4 / 15,82065,36904,35,16007,29152,,,,,,Spain,529
4 / 16,82092,35619,26,16473,29999,,,,,,Spain,530
4 / 17,82112,34373,20,16922,30817,,,,,,Spain,531
4 / 18,82128,33166,15,17355,31606,,,,,,Spain,532
4 / 19,82140,31999,11,17773,32367,,,,,,Spain,533
4 / 20,82149,30870,9,18176,33101,,,,,,Spain,534
4 / 21,82156,29780,7,18565,33810,,,,,,Spain,535
4 / 22,82162,28727,5,18940,34493,,,,,,Spain,536
4 / 23,82166,27710,4,19302,35153,,,,,,Spain,537
4 / 24,82170,26728,3,19652,35789,,,,,,Spain,538
4 / 25,82173,25781,2,19988,36402,,,,,,Spain,539
4 / 26,82175,24867,2,20313,36994,,,,,,Spain,540
3 / 13,906,885,132,21,0,804,794,190,10,0,Netherlands,541
3 / 14,1065,1038,158,26,0,959,947,155,12,0,Netherlands,542
3 / 15,1255,1222,189,29,2,1135,1113,176,20,2,Netherlands,543
3 / 16,1481,1441,226,36,3,1413,1387,278,24,2,Netherlands,544
3 / 17,1750,1701,268,46,2,1705,1660,292,43,2,Netherlands,545
3 / 18,2068,2010,318,56,2,2051,2006,346,43,2,Netherlands,546
3 / 19,2445,2374,376,68,1,2460,2382,409,76,2,Netherlands,547
3 / 20,2886,2802,441,83,1,2994,2886,534,106,2,Netherlands,548
3 / 21,3403,3302,516,99,1,3631,3493,637,136,2,Netherlands,549
3 / 22,4002,3881,599,119,1,4216,4034,585,180,2,Netherlands,550
3 / 23,4693,4549,690,142,1,4749,4534,533,213,2,Netherlands,551
3 / 24,5482,5312,789,169,1,5560,5282,811,276,2,Netherlands,552
3 / 25,6440,6077,957,357,6,6440,6077,880,357,6,Netherlands,553
3 / 26,7440,7041,1000,393,5,7469,7028,1029,435,6,Netherlands,554
3 / 27,8546,8106,1106,435,4,8647,8094,1178,547,6,Netherlands,555
3 / 28,9751,9264,1205,481,5,,,,,,Netherlands,556
3 / 29,11044,10503,1292,535,5,,,,,,Netherlands,557
3 / 30,12407,11805,1363,595,6,,,,,,Netherlands,558
3 / 31,13820,13150,1412,662,7,,,,,,Netherlands,559
4 / 1,15257,14512,1436,736,8,,,,,,Netherlands,560
4 / 2,16690,15862,1433,818,8,,,,,,Netherlands,561
4 / 3,18093,17175,1402,907,9,,,,,,Netherlands,562
4 / 4,19440,18425,1346,1003,11,,,,,,Netherlands,563
4 / 5,20709,19591,1269,1106,12,,,,,,Netherlands,564
4 / 6,21884,20656,1174,1214,13,,,,,,Netherlands,565
4 / 7,22953,21610,1069,1328,14,,,,,,Netherlands,566
4 / 8,23911,22448,958,1447,15,,,,,,Netherlands,567
4 / 9,24758,23170,846,1570,17,,,,,,Netherlands,568
4 / 10,25497,23782,739,1696,18,,,,,,Netherlands,569
4 / 11,26136,24289,638,1826,20,,,,,,Netherlands,570
4 / 12,26682,24702,546,1958,21,,,,,,Netherlands,571
4 / 13,27146,25030,463,2092,22,,,,,,Netherlands,572
4 / 14,27537,25284,390,2228,24,,,,,,Netherlands,573
4 / 15,27864,25473,327,2364,25,,,,,,Netherlands,574
4 / 16,28138,25608,273,2502,27,,,,,,Netherlands,575
4 / 17,28365,25696,227,2640,28,,,,,,Netherlands,576
4 / 18,28554,25744,188,2779,30,,,,,,Netherlands,577
4 / 19,28710,25760,156,2918,32,,,,,,Netherlands,578
4 / 20,28839,25748,128,3057,33,,,,,,Netherlands,579
4 / 21,28945,25715,106,3195,35,,,,,,Netherlands,580
4 / 22,29033,25662,87,3334,36,,,,,,Netherlands,581
4 / 23,29105,25595,72,3472,38,,,,,,Netherlands,582
4 / 24,29165,25515,59,3609,39,,,,,,Netherlands,583
4 / 25,29214,25426,49,3747,41,,,,,,Netherlands,584
4 / 26,29254,25328,40,3883,42,,,,,,Netherlands,585
3 / 13,743,736,80,3,3,814,812,215,1,1,Sweden,586
3 / 14,828,819,84,6,3,961,958,147,2,1,Sweden,587
3 / 15,920,908,91,7,3,1023,1020,62,2,1,Sweden,588
3 / 16,1020,1006,100,9,4,1103,1100,80,2,1,Sweden,589
3 / 17,1131,1114,111,14,2,1190,1182,87,7,1,Sweden,590
3 / 18,1255,1235,123,17,2,1279,1270,89,8,1,Sweden,591
3 / 19,1393,1369,137,21,1,1423,1411,144,11,1,Sweden,592
3 / 20,1546,1519,153,24,2,1639,1627,216,11,1,Sweden,593
3 / 21,1717,1686,171,17,13,1770,1734,131,20,16,Sweden,594
3 / 22,1908,1872,190,20,15,1934,1897,164,21,16,Sweden,595
3 / 23,2120,2079,212,24,15,2046,2005,112,25,16,Sweden,596
3 / 24,2356,2309,235,32,14,2286,2234,240,36,16,Sweden,597
3 / 25,2526,2448,169,61,16,2526,2448,240,62,16,Sweden,598
3 / 26,2844,2759,318,70,14,2840,2747,314,77,16,Sweden,599
3 / 27,3191,3098,346,80,12,3069,2948,229,105,16,Sweden,600
3 / 28,3569,3468,378,87,13,,,,,,Sweden,601
3 / 29,3983,3872,413,95,14,,,,,,Sweden,602
3 / 30,4433,4312,450,104,15,,,,,,Sweden,603
3 / 31,4923,4790,489,115,17,,,,,,Sweden,604
4 / 1,5453,5307,530,126,19,,,,,,Sweden,605
4 / 2,6024,5864,571,138,21,,,,,,Sweden,606
4 / 3,6637,6461,612,152,23,,,,,,Sweden,607
4 / 4,7290,7096,653,167,25,,,,,,Sweden,608
4 / 5,7982,7770,692,184,28,,,,,,Sweden,609
4 / 6,8712,8478,729,202,30,,,,,,Sweden,610
4 / 7,9476,9220,764,222,33,,,,,,Sweden,611
4 / 8,10272,9991,795,244,37,,,,,,Sweden,612
4 / 9,11095,10786,822,267,40,,,,,,Sweden,613
4 / 10,11939,11602,844,292,44,,,,,,Sweden,614
4 / 11,12800,12432,860,319,48,,,,,,Sweden,615
4 / 12,13670,13269,870,348,53,,,,,,Sweden,616
4 / 13,14543,14106,872,379,57,,,,,,Sweden,617
4 / 14,15410,14936,867,411,62,,,,,,Sweden,618
4 / 15,16266,15752,855,446,67,,,,,,Sweden,619
4 / 16,17102,16546,836,482,73,,,,,,Sweden,620
4 / 17,17913,17314,811,520,79,,,,,,Sweden,621
4 / 18,18694,18048,780,560,85,,,,,,Sweden,622
4 / 19,19438,18745,744,601,91,,,,,,Sweden,623
4 / 20,20142,19399,703,644,98,,,,,,Sweden,624
4 / 21,20802,20009,660,688,104,,,,,,Sweden,625
4 / 22,21418,20573,615,733,111,,,,,,Sweden,626
4 / 23,21988,21088,569,780,118,,,,,,Sweden,627
4 / 24,22511,21557,523,828,126,,,,,,Sweden,628
4 / 25,22989,21978,477,877,133,,,,,,Sweden,629
4 / 26,23423,22355,433,927,141,,,,,,Sweden,630
3 / 13,701,646,110,41,13,556,552,157,3,1,Belgium,631
3 / 14,831,761,129,56,14,689,684,133,4,1,Belgium,632
3 / 15,984,896,153,70,17,886,881,197,4,1,Belgium,633
3 / 16,1165,1056,181,86,21,1085,1080,199,4,1,Belgium,634
3 / 17,1379,1245,213,121,12,1243,1232,158,10,1,Belgium,635
3 / 18,1631,1469,252,151,10,1486,1471,243,14,1,Belgium,636
3 / 19,1927,1731,296,61,135,1795,1750,309,14,31,Belgium,637
3 / 20,2274,2037,346,128,107,2257,2189,462,37,31,Belgium,638
3 / 21,2677,2394,403,194,89,2815,2717,558,67,31,Belgium,639
3 / 22,3144,2805,466,75,264,3401,3063,586,75,263,Belgium,640
3 / 23,3680,3275,535,72,331,3743,3254,342,88,401,Belgium,641
3 / 24,4289,3809,609,100,379,4269,3686,526,122,461,Belgium,642
3 / 25,4937,4212,647,178,547,4937,4212,668,178,547,Belgium,643
3 / 26,5705,4882,768,202,620,6235,5340,1298,220,675,Belgium,644
3 / 27,6545,5611,840,235,698,7284,6137,1049,289,858,Belgium,645
3 / 28,7455,6392,909,267,794,,,,,,Belgium,646
3 / 29,8427,7219,972,304,903,,,,,,Belgium,647
3 / 30,9452,8081,1024,345,1025,,,,,,Belgium,648
3 / 31,10515,8962,1063,391,1162,,,,,,Belgium,649
4 / 1,11601,9846,1085,442,1312,,,,,,Belgium,650
4 / 2,12692,10718,1091,497,1477,,,,,,Belgium,651
4 / 3,13771,11558,1078,557,1655,,,,,,Belgium,652
4 / 4,14822,12353,1050,622,1846,,,,,,Belgium,653
4 / 5,15828,13087,1006,690,2050,,,,,,Belgium,654
4 / 6,16780,13752,951,762,2265,,,,,,Belgium,655
4 / 7,17668,14340,888,838,2489,,,,,,Belgium,656
4 / 8,18487,14846,818,917,2723,,,,,,Belgium,657
4 / 9,19234,15271,746,998,2964,,,,,,Belgium,658
4 / 10,19909,15616,675,1081,3211,,,,,,Belgium,659
4 / 11,20514,15884,605,1166,3463,,,,,,Belgium,660
4 / 12,21053,16081,538,1252,3719,,,,,,Belgium,661
4 / 13,21529,16211,476,1339,3977,,,,,,Belgium,662
4 / 14,21948,16283,418,1427,4237,,,,,,Belgium,663
4 / 15,22315,16301,367,1515,4498,,,,,,Belgium,664
4 / 16,22635,16273,320,1602,4758,,,,,,Belgium,665
4 / 17,22914,16205,278,1690,5018,,,,,,Belgium,666
4 / 18,23156,16101,241,1777,5277,,,,,,Belgium,667
4 / 19,23365,15967,209,1863,5533,,,,,,Belgium,668
4 / 20,23546,15809,180,1949,5787,,,,,,Belgium,669
4 / 21,23702,15628,156,2034,6039,,,,,,Belgium,670
4 / 22,23837,15431,134,2117,6287,,,,,,Belgium,671
4 / 23,23953,15219,115,2200,6533,,,,,,Belgium,672
4 / 24,24052,14996,99,2281,6774,,,,,,Belgium,673
4 / 25,24138,14763,85,2362,7012,,,,,,Belgium,674
4 / 26,24211,14523,73,2441,7246,,,,,,Belgium,675
3 / 13,911,858,156,18,34,798,770,208,10,18,UK,676
3 / 14,1105,1039,193,35,30,1140,1101,342,21,18,UK,677
3 / 15,1346,1265,241,52,27,1372,1319,232,35,18,UK,678
3 / 16,1645,1547,299,72,26,1543,1468,171,55,20,UK,679
3 / 17,2017,1896,371,62,58,1950,1841,407,56,53,UK,680
3 / 18,2475,2327,458,98,49,2626,2469,676,104,53,UK,681
3 / 19,3039,2858,564,132,48,3269,3072,643,144,53,UK,682
3 / 20,3729,3506,689,161,61,3983,3739,714,177,67,UK,683
3 / 21,4567,4294,837,198,75,5066,4822,1083,177,67,UK,684
3 / 22,5576,5241,1009,270,64,5741,5392,675,282,67,UK,685
3 / 23,6780,6369,1203,292,117,6650,6180,909,335,135,UK,686
3 / 24,8197,7696,1417,379,121,8077,7520,1427,422,135,UK,687
3 / 25,9640,9034,1442,466,140,9640,9034,1563,466,140,UK,688
3 / 26,11582,10847,1942,583,151,11812,11082,2172,580,150,UK,689
3 / 27,13729,12841,2147,741,147,14745,13833,2933,761,151,UK,690
3 / 28,16069,15000,2339,892,177,,,,,,UK,691
3 / 29,18566,17287,2496,1066,211,,,,,,UK,692
3 / 30,21166,19648,2599,1267,251,,,,,,UK,693
3 / 31,23802,22013,2636,1492,296,,,,,,UK,694
4 / 1,26401,24312,2599,1743,346,,,,,,UK,695
4 / 2,28893,26473,2491,2019,400,,,,,,UK,696
4 / 3,31214,28438,2321,2316,459,,,,,,UK,697
4 / 4,33320,30163,2106,2634,522,,,,,,UK,698
4 / 5,35183,31624,1862,2969,589,,,,,,UK,699
4 / 6,36792,32814,1608,3318,658,,,,,,UK,700
4 / 7,38152,33743,1360,3679,730,,,,,,UK,701
4 / 8,39281,34428,1128,4049,803,,,,,,UK,702
4 / 9,40202,34899,920,4425,878,,,,,,UK,703
4 / 10,40942,35184,740,4804,953,,,,,,UK,704
4 / 11,41530,35313,587,5187,1029,,,,,,UK,705
4 / 12,41991,35316,460,5569,1105,,,,,,UK,706
4 / 13,42349,35216,358,5952,1181,,,,,,UK,707
4 / 14,42625,35036,276,6332,1256,,,,,,UK,708
4 / 15,42837,34794,211,6711,1331,,,,,,UK,709
4 / 16,42998,34506,161,7086,1406,,,,,,UK,710
4 / 17,43120,34182,122,7458,1479,,,,,,UK,711
4 / 18,43213,33832,92,7827,1553,,,,,,UK,712
4 / 19,43282,33465,69,8191,1625,,,,,,UK,713
4 / 20,43334,33085,52,8552,1697,,,,,,UK,714
4 / 21,43373,32697,39,8908,1767,,,,,,UK,715
4 / 22,43402,32304,29,9261,1837,,,,,,UK,716
4 / 23,43424,31909,21,9608,1906,,,,,,UK,717
4 / 24,43440,31513,16,9952,1974,,,,,,UK,718
4 / 25,43453,31118,12,10291,2042,,,,,,UK,719
4 / 26,43462,30726,9,10626,2108,,,,,,UK,720
3 / 13,925,906,187,9,9,815,807,170,4,4,Switzerland,721
3 / 14,1168,1144,243,17,6,1375,1360,560,11,4,Switzerland,722
3 / 15,1483,1453,314,22,7,1563,1546,188,13,4,Switzerland,723
3 / 16,1887,1849,404,30,6,2221,2199,658,18,4,Switzerland,724
3 / 17,2401,2353,513,39,8,2353,2330,132,19,4,Switzerland,725
3 / 18,3042,2981,641,51,9,2772,2747,419,21,4,Switzerland,726
3 / 19,3826,3748,784,68,8,3438,3401,666,33,4,Switzerland,727
3 / 20,4761,4663,935,89,8,4176,4129,738,43,4,Switzerland,728
3 / 21,5845,5722,1084,114,8,6113,6053,1937,56,4,Switzerland,729
3 / 22,7062,6908,1216,65,88,7245,7016,1132,98,131,Switzerland,730
3 / 23,8380,8189,1318,91,99,8795,8544,1550,120,131,Switzerland,731
3 / 24,9759,9525,1379,112,121,9877,9624,1082,122,131,Switzerland,732
3 / 25,10897,10613,1137,152,131,10897,10613,1020,153,131,Switzerland,733
3 / 26,12246,11907,1349,201,137,11811,11489,914,191,131,Switzerland,734
3 / 27,13476,13076,1230,52,347,12928,11167,1117,231,1530,Switzerland,735
3 / 28,14609,14143,1133,61,405,,,,,,Switzerland,736
3 / 29,15661,15123,1051,70,467,,,,,,Switzerland,737
3 / 30,16641,16027,980,80,533,,,,,,Switzerland,738
3 / 31,17556,16862,914,91,603,,,,,,Switzerland,739
4 / 1,18407,17629,851,102,676,,,,,,Switzerland,740
4 / 2,19198,18332,790,113,752,,,,,,Switzerland,741
4 / 3,19928,18971,730,125,831,,,,,,Switzerland,742
4 / 4,20599,19548,671,137,913,,,,,,Switzerland,743
4 / 5,21215,20067,615,150,997,,,,,,Switzerland,744
4 / 6,21776,20529,561,163,1083,,,,,,Switzerland,745
4 / 7,22286,20938,510,176,1171,,,,,,Switzerland,746
4 / 8,22750,21298,463,190,1260,,,,,,Switzerland,747
4 / 9,23169,21613,419,204,1351,,,,,,Switzerland,748
4 / 10,23549,21887,379,218,1443,,,,,,Switzerland,749
4 / 11,23891,22122,342,232,1537,,,,,,Switzerland,750
4 / 12,24201,22323,309,246,1631,,,,,,Switzerland,751
4 / 13,24480,22493,279,260,1726,,,,,,Switzerland,752
4 / 14,24733,22635,252,275,1822,,,,,,Switzerland,753
4 / 15,24960,22752,227,289,1918,,,,,,Switzerland,754
4 / 16,25165,22846,205,304,2014,,,,,,Switzerland,755
4 / 17,25350,22919,185,318,2111,,,,,,Switzerland,756
4 / 18,25517,22974,166,333,2209,,,,,,Switzerland,757
4 / 19,25668,23013,150,348,2306,,,,,,Switzerland,758
4 / 20,25803,23036,135,363,2404,,,,,,Switzerland,759
4 / 21,25926,23046,122,377,2502,,,,,,Switzerland,760
4 / 22,26036,23044,110,392,2599,,,,,,Switzerland,761
4 / 23,26136,23031,99,407,2697,,,,,,Switzerland,762
4 / 24,26225,23008,89,421,2794,,,,,,Switzerland,763
4 / 25,26306,22977,80,436,2892,,,,,,Switzerland,764
4 / 26,26379,22938,72,451,2989,,,,,,Switzerland,765
3 / 13,223,217,27,6,0,190,189,91,1,0,Greece,766
3 / 14,252,244,28,2,6,228,217,38,3,8,Greece,767
3 / 15,282,272,30,3,6,331,319,103,4,8,Greece,768
3 / 16,315,302,32,4,8,352,340,21,4,8,Greece,769
3 / 17,352,336,36,5,9,387,374,35,5,8,Greece,770
3 / 18,392,373,40,7,11,418,405,31,5,8,Greece,771
3 / 19,436,415,44,5,16,464,445,46,5,14,Greece,772
3 / 20,487,461,50,6,19,495,470,31,6,19,Greece,773
3 / 21,543,513,56,8,20,530,503,35,8,19,Greece,774
3 / 22,606,572,63,15,19,624,590,94,15,19,Greece,775
3 / 23,678,638,71,14,24,695,649,71,17,29,Greece,776
3 / 24,750,705,72,18,26,743,694,48,20,29,Greece,777
3 / 25,829,771,79,22,36,821,763,78,22,36,Greece,778
3 / 26,908,843,79,27,37,892,830,71,26,36,Greece,779
3 / 27,990,917,81,25,46,966,886,74,28,52,Greece,780
3 / 28,1066,986,76,28,52,,,,,,Greece,781
3 / 29,1134,1045,68,31,57,,,,,,Greece,782
3 / 30,1203,1105,69,34,63,,,,,,Greece,783
3 / 31,1274,1167,70,37,69,,,,,,Greece,784
4 / 1,1349,1231,74,41,76,,,,,,Greece,785
4 / 2,1429,1301,80,44,83,,,,,,Greece,786
4 / 3,1517,1377,87,48,90,,,,,,Greece,787
4 / 4,1613,1461,96,53,98,,,,,,Greece,788
4 / 5,1719,1554,106,57,106,,,,,,Greece,789
4 / 6,1836,1658,117,62,115,,,,,,Greece,790
4 / 7,1967,1775,130,67,125,,,,,,Greece,791
4 / 8,2113,1905,145,72,135,,,,,,Greece,792
4 / 9,2274,2050,161,78,146,,,,,,Greece,793
4 / 10,2454,2211,179,84,157,,,,,,Greece,794
4 / 11,2653,2391,199,91,170,,,,,,Greece,795
4 / 12,2873,2590,220,99,184,,,,,,Greece,796
4 / 13,3117,2811,243,107,198,,,,,,Greece,797
4 / 14,3385,3054,268,115,215,,,,,,Greece,798
4 / 15,3680,3322,294,125,232,,,,,,Greece,799
4 / 16,4003,3616,323,135,251,,,,,,Greece,800
4 / 17,4356,3937,352,146,272,,,,,,Greece,801
4 / 18,4739,4285,383,158,294,,,,,,Greece,802
4 / 19,5154,4663,415,172,319,,,,,,Greece,803
4 / 20,5602,5069,447,186,346,,,,,,Greece,804
4 / 21,6082,5505,480,202,375,,,,,,Greece,805
4 / 22,6594,5969,512,218,406,,,,,,Greece,806
4 / 23,7138,6460,543,237,440,,,,,,Greece,807
4 / 24,7711,6976,573,257,477,,,,,,Greece,808
4 / 25,8311,7515,600,278,517,,,,,,Greece,809
4 / 26,8937,8075,625,301,560,,,,,,Greece,810
3 / 13,203,190,37,1,12,193,184,76,1,8,Canada,811
3 / 14,251,235,48,1,14,196,187,3,1,8,Canada,812
3 / 15,313,295,62,2,16,250,241,54,1,8,Canada,813
3 / 16,393,371,80,6,15,405,391,155,4,10,Canada,814
3 / 17,497,471,103,8,17,465,450,60,5,10,Canada,815
3 / 18,631,599,133,15,16,727,708,262,9,10,Canada,816
3 / 19,803,764,172,21,17,873,851,146,12,10,Canada,817
3 / 20,1023,975,220,26,21,1087,1065,214,12,10,Canada,818
3 / 21,1305,1245,281,37,22,1190,1163,103,17,10,Canada,819
3 / 22,1663,1588,357,50,24,1470,1439,280,21,10,Canada,820
3 / 23,2114,2020,450,59,33,2088,2049,618,25,14,Canada,821
3 / 24,2676,2559,562,22,95,2790,2654,702,26,110,Canada,822
3 / 25,3400,3182,723,35,183,3400,3182,610,35,183,Canada,823
3 / 26,4245,3990,845,43,211,4046,3824,646,38,184,Canada,824
3 / 27,5257,4955,1012,42,260,4781,4380,735,56,345,Canada,825
3 / 28,6445,6085,1187,50,309,,,,,,Canada,826
3 / 29,7808,7377,1363,60,370,,,,,,Canada,827
3 / 30,9334,8818,1526,72,443,,,,,,Canada,828
3 / 31,10997,10380,1662,86,530,,,,,,Canada,829
4 / 1,12758,12024,1761,102,631,,,,,,Canada,830
4 / 2,14573,13703,1814,121,748,,,,,,Canada,831
4 / 3,16393,15371,1820,142,879,,,,,,Canada,832
4 / 4,18175,16983,1782,166,1026,,,,,,Canada,833
4 / 5,19884,18505,1708,192,1186,,,,,,Canada,834
4 / 6,21494,19913,1610,220,1360,,,,,,Canada,835
4 / 7,22990,21193,1496,251,1546,,,,,,Canada,836
4 / 8,24367,22341,1376,282,1743,,,,,,Canada,837
4 / 9,25624,23358,1257,316,1950,,,,,,Canada,838
4 / 10,26766,24249,1141,351,2165,,,,,,Canada,839
4 / 11,27800,25024,1033,387,2388,,,,,,Canada,840
4 / 12,28734,25692,934,424,2617,,,,,,Canada,841
4 / 13,29577,26261,842,463,2852,,,,,,Canada,842
4 / 14,30337,26743,759,501,3092,,,,,,Canada,843
4 / 15,31021,27144,684,541,3336,,,,,,Canada,844
4 / 16,31638,27474,616,581,3583,,,,,,Canada,845
4 / 17,32194,27739,555,622,3832,,,,,,Canada,846
4 / 18,32694,27946,500,663,4084,,,,,,Canada,847
4 / 19,33145,28102,450,704,4338,,,,,,Canada,848
4 / 20,33550,28212,405,745,4592,,,,,,Canada,849
4 / 21,33916,28281,365,786,4848,,,,,,Canada,850
4 / 22,34245,28312,329,828,5104,,,,,,Canada,851
4 / 23,34541,28311,296,870,5360,,,,,,Canada,852
4 / 24,34808,28280,266,911,5616,,,,,,Canada,853
4 / 25,35048,28224,240,953,5871,,,,,,Canada,854
4 / 26,35265,28144,216,994,6126,,,,,,Canada,855
3 / 13,320,282,57,0,38,197,171,48,0,26,Malaysia,856
3 / 14,386,342,65,0,43,238,203,41,0,35,Malaysia,857
3 / 15,461,411,75,0,49,428,393,190,0,35,Malaysia,858
3 / 16,547,489,85,0,57,553,518,125,0,35,Malaysia,859
3 / 17,644,577,97,2,64,673,622,120,2,49,Malaysia,860
3 / 18,754,676,109,2,75,790,728,117,2,60,Malaysia,861
3 / 19,877,787,122,2,87,900,823,110,2,75,Malaysia,862
3 / 20,1014,909,136,2,102,1030,941,130,2,87,Malaysia,863
3 / 21,1165,1043,150,7,113,1183,1061,153,8,114,Malaysia,864
3 / 22,1317,1176,152,9,131,1306,1157,123,10,139,Malaysia,865
3 / 23,1484,1321,167,13,149,1518,1345,212,14,159,Malaysia,866
3 / 24,1667,1468,182,16,183,1624,1425,106,16,183,Malaysia,867
3 / 25,1865,1639,197,20,205,1796,1577,172,20,199,Malaysia,868
3 / 26,2070,1815,205,24,230,2031,1793,235,23,215,Malaysia,869
3 / 27,2276,1987,205,26,262,2161,1876,130,26,259,Malaysia,870
3 / 28,2549,2223,273,29,296,,,,,,Malaysia,871
3 / 29,2803,2435,253,33,333,,,,,,Malaysia,872
3 / 30,3061,2649,258,37,374,,,,,,Malaysia,873
3 / 31,3321,2861,260,41,418,,,,,,Malaysia,874
4 / 1,3583,3070,261,46,465,,,,,,Malaysia,875
4 / 2,3842,3275,259,51,515,,,,,,Malaysia,876
4 / 3,4099,3472,256,57,569,,,,,,Malaysia,877
4 / 4,4350,3661,251,62,626,,,,,,Malaysia,878
4 / 5,4595,3840,245,68,686,,,,,,Malaysia,879
4 / 6,4833,4009,237,75,748,,,,,,Malaysia,880
4 / 7,5063,4167,229,81,814,,,,,,Malaysia,881
4 / 8,5283,4313,220,88,881,,,,,,Malaysia,882
4 / 9,5494,4447,210,95,951,,,,,,Malaysia,883
4 / 10,5695,4569,200,102,1023,,,,,,Malaysia,884
4 / 11,5886,4679,190,110,1097,,,,,,Malaysia,885
4 / 12,6067,4777,180,117,1172,,,,,,Malaysia,886
4 / 13,6238,4863,170,125,1249,,,,,,Malaysia,887
4 / 14,6399,4938,160,133,1327,,,,,,Malaysia,888
4 / 15,6550,5002,151,141,1406,,,,,,Malaysia,889
4 / 16,6692,5055,141,149,1486,,,,,,Malaysia,890
4 / 17,6824,5099,132,157,1567,,,,,,Malaysia,891
4 / 18,6949,5134,124,165,1649,,,,,,Malaysia,892
4 / 19,7064,5159,115,173,1731,,,,,,Malaysia,893
4 / 20,7173,5177,108,182,1813,,,,,,Malaysia,894
4 / 21,7273,5186,100,190,1896,,,,,,Malaysia,895
4 / 22,7367,5189,93,198,1979,,,,,,Malaysia,896
4 / 23,7454,5185,86,206,2061,,,,,,Malaysia,897
4 / 24,7534,5175,80,215,2144,,,,,,Malaysia,898
4 / 25,7609,5159,74,223,2226,,,,,,Malaysia,899
4 / 26,7678,5138,69,231,2308,,,,,,Malaysia,900
3 / 13,75,70,23,3,1,64,57,12,5,2,Philippines,901
3 / 14,96,89,20,5,1,111,101,47,8,2,Philippines,902
3 / 15,116,106,20,7,1,140,127,29,11,2,Philippines,903
3 / 16,137,125,21,10,1,142,128,2,12,2,Philippines,904
3 / 17,161,147,24,11,3,187,169,45,14,4,Philippines,905
3 / 18,190,172,28,12,5,202,178,15,17,7,Philippines,906
3 / 19,224,202,34,15,7,217,192,15,17,8,Philippines,907
3 / 20,266,239,41,18,8,230,204,13,18,8,Philippines,908
3 / 21,316,283,50,19,13,307,275,77,19,13,Philippines,909
3 / 22,377,337,60,23,16,380,338,73,25,17,Philippines,910
3 / 23,451,403,73,30,16,462,411,82,33,18,Philippines,911
3 / 24,540,482,88,36,20,552,497,90,35,20,Philippines,912
3 / 25,636,572,95,38,26,636,572,84,38,26,Philippines,913
3 / 26,766,688,130,47,29,707,634,71,45,28,Philippines,914
3 / 27,922,828,155,59,34,803,718,96,54,31,Philippines,915
3 / 28,1105,991,183,72,41,,,,,,Philippines,916
3 / 29,1318,1180,212,87,50,,,,,,Philippines,917
3 / 30,1561,1395,243,105,60,,,,,,Philippines,918
3 / 31,1836,1637,274,126,72,,,,,,Philippines,919
4 / 1,2141,1904,305,151,86,,,,,,Philippines,920
