日期,复工指数,缺工指数,省份,序号
3月16日,0.917,0.12,甘肃省,686
3月17日,0.931,0.111,甘肃省,687
3月18日,0.927,0.102,甘肃省,688
3月19日,0.932,0.092,甘肃省,689
3月20日,0.949,0.084,甘肃省,690
3月23日,0.956,0.061,甘肃省,691
3月24日,0.949,0.056,甘肃省,692
3月25日,0.948,0.056,甘肃省,693
2月10日,0.438,0.601,山东省,694
2月11日,0.43,0.597,山东省,695
2月12日,0.438,0.594,山东省,696
2月13日,0.458,0.59,山东省,697
2月14日,0.437,0.588,山东省,698
2月17日,0.47,0.581,山东省,699
2月18日,0.494,0.577,山东省,700
2月19日,0.511,0.573,山东省,701
2月20日,0.531,0.57,山东省,702
2月21日,0.542,0.566,山东省,703
2月24日,0.585,0.544,山东省,704
2月25日,0.584,0.521,山东省,705
2月26日,0.612,0.508,山东省,706
2月27日,0.616,0.5,山东省,707
2月28日,0.604,0.481,山东省,708
3月2日,0.722,0.433,山东省,709
3月3日,0.73,0.427,山东省,710
3月4日,0.743,0.421,山东省,711
3月5日,0.756,0.414,山东省,712
3月6日,0.772,0.406,山东省,713
3月9日,0.789,0.387,山东省,714
3月10日,0.818,0.379,山东省,715
3月11日,0.836,0.372,山东省,716
3月12日,0.845,0.365,山东省,717
3月13日,0.844,0.357,山东省,718
3月16日,0.88,0.339,山东省,719
3月17日,0.893,0.333,山东省,720
3月18日,0.9,0.328,山东省,721
3月19日,0.895,0.322,山东省,722
3月20日,0.912,0.315,山东省,723
3月23日,0.935,0.303,山东省,724
3月24日,0.93,0.299,山东省,725
3月25日,0.93,0.296,山东省,726
2月10日,0.384,0.974,上海,727
2月11日,0.336,0.96,上海,728
2月12日,0.352,0.949,上海,729
2月13日,0.358,0.939,上海,730
2月14日,0.365,0.931,上海,731
2月17日,0.418,0.911,上海,732
2月18日,0.415,0.902,上海,733
2月19日,0.423,0.894,上海,734
2月20日,0.441,0.885,上海,735
2月21日,0.456,0.875,上海,736
2月24日,0.564,0.841,上海,737
2月25日,0.562,0.828,上海,738
2月26日,0.563,0.816,上海,739
2月27日,0.577,0.804,上海,740
2月28日,0.58,0.794,上海,741
3月2日,0.67,0.757,上海,742
3月3日,0.67,0.746,上海,743
3月4日,0.672,0.737,上海,744
3月5日,0.681,0.728,上海,745
3月6日,0.691,0.719,上海,746
3月9日,0.727,0.695,上海,747
3月10日,0.747,0.686,上海,748
3月11日,0.756,0.679,上海,749
3月12日,0.759,0.671,上海,750
3月13日,0.761,0.664,上海,751
3月16日,0.822,0.643,上海,752
3月17日,0.824,0.636,上海,753
3月18日,0.832,0.63,上海,754
3月19日,0.834,0.623,上海,755
3月20日,0.847,0.618,上海,756
3月23日,0.874,0.602,上海,757
3月24日,0.874,0.598,上海,758
3月25日,0.878,0.595,上海,759
2月10日,0.369,0.349,陕西省,760
2月11日,0.36,0.349,陕西省,761
2月12日,0.365,0.349,陕西省,762
2月13日,0.371,0.349,陕西省,763
2月14日,0.357,0.349,陕西省,764
2月17日,0.407,0.349,陕西省,765
2月18日,0.408,0.349,陕西省,766
2月19日,0.419,0.349,陕西省,767
2月20日,0.403,0.349,陕西省,768
2月21日,0.443,0.349,陕西省,769
2月24日,0.564,0.342,陕西省,770
2月25日,0.579,0.339,陕西省,771
2月26日,0.589,0.334,陕西省,772
2月27日,0.531,0.329,陕西省,773
2月28日,0.622,0.324,陕西省,774
3月2日,0.703,0.294,陕西省,775
3月3日,0.749,0.281,陕西省,776
3月4日,0.769,0.267,陕西省,777
3月5日,0.775,0.254,陕西省,778
3月6日,0.8,0.243,陕西省,779
3月9日,0.827,0.214,陕西省,780
3月10日,0.835,0.206,陕西省,781
3月11日,0.844,0.2,陕西省,782
3月12日,0.84,0.192,陕西省,783
3月13日,0.866,0.186,陕西省,784
3月16日,0.89,0.171,陕西省,785
3月17日,0.897,0.166,陕西省,786
3月18日,0.892,0.162,陕西省,787
3月19日,0.899,0.158,陕西省,788
3月20日,0.92,0.155,陕西省,789
3月23日,0.925,0.149,陕西省,790
3月24日,0.923,0.148,陕西省,791
3月25日,0.931,0.146,陕西省,792
2月10日,0.329,0.221,河南省,793
2月11日,0.324,0.219,河南省,794
2月12日,0.328,0.217,河南省,795
2月13日,0.332,0.215,河南省,796
2月14日,0.321,0.213,河南省,797
2月17日,0.353,0.205,河南省,798
2月18日,0.358,0.202,河南省,799
2月19日,0.369,0.198,河南省,800
2月20日,0.383,0.195,河南省,801
2月21日,0.426,0.192,河南省,802
2月24日,0.528,0.179,河南省,803
2月25日,0.526,0.174,河南省,804
2月26日,0.514,0.169,河南省,805
2月27日,0.476,0.165,河南省,806
2月28日,0.532,0.16,河南省,807
3月2日,0.643,0.145,河南省,808
3月3日,0.66,0.14,河南省,809
3月4日,0.666,0.135,河南省,810
3月5日,0.684,0.131,河南省,811
3月6日,0.699,0.126,河南省,812
3月9日,0.685,0.112,河南省,813
3月10日,0.756,0.107,河南省,814
3月11日,0.779,0.102,河南省,815
3月12日,0.78,0.098,河南省,816
3月13日,0.759,0.096,河南省,817
3月16日,0.811,0.091,河南省,818
3月17日,0.828,0.089,河南省,819
3月18日,0.834,0.087,河南省,820
3月19日,0.841,0.084,河南省,821
3月20日,0.858,0.082,河南省,822
3月23日,0.884,0.072,河南省,823
3月24日,0.883,0.069,河南省,824
3月25日,0.863,0.066,河南省,825
2月10日,0.552,0.283,湖南省,826
2月11日,0.529,0.278,湖南省,827
2月12日,0.548,0.275,湖南省,828
2月13日,0.555,0.273,湖南省,829
2月14日,0.558,0.272,湖南省,830
2月17日,0.58,0.264,湖南省,831
2月18日,0.583,0.262,湖南省,832
2月19日,0.586,0.258,湖南省,833
2月20日,0.628,0.255,湖南省,834
2月21日,0.626,0.251,湖南省,835
2月24日,0.753,0.231,湖南省,836
2月25日,0.737,0.225,湖南省,837
2月26日,0.733,0.218,湖南省,838
2月27日,0.717,0.213,湖南省,839
2月28日,0.715,0.208,湖南省,840
3月2日,0.762,0.191,湖南省,841
3月3日,0.716,0.187,湖南省,842
3月4日,0.758,0.183,湖南省,843
3月5日,0.785,0.178,湖南省,844
3月6日,0.769,0.175,湖南省,845
3月9日,0.786,0.164,湖南省,846
3月10日,0.832,0.161,湖南省,847
3月11日,0.816,0.157,湖南省,848
3月12日,0.804,0.154,湖南省,849
3月13日,0.826,0.152,湖南省,850
3月16日,0.853,0.143,湖南省,851
3月17日,0.833,0.14,湖南省,852
3月18日,0.855,0.136,湖南省,853
3月19日,0.867,0.133,湖南省,854
3月20日,0.89,0.131,湖南省,855
3月23日,0.888,0.123,湖南省,856
3月24日,0.883,0.122,湖南省,857
3月25日,0.898,0.119,湖南省,858
2月10日,0.429,0.502,宁夏回族自治区,859
2月11日,0.419,0.497,宁夏回族自治区,860
2月12日,0.422,0.492,宁夏回族自治区,861
2月13日,0.413,0.488,宁夏回族自治区,862
2月14日,0.404,0.484,宁夏回族自治区,863
2月17日,0.437,0.469,宁夏回族自治区,864
2月18日,0.433,0.464,宁夏回族自治区,865
2月19日,0.44,0.458,宁夏回族自治区,866
2月20日,0.43,0.454,宁夏回族自治区,867
2月21日,0.454,0.449,宁夏回族自治区,868
2月24日,0.514,0.438,宁夏回族自治区,869
2月25日,0.532,0.433,宁夏回族自治区,870
2月26日,0.553,0.426,宁夏回族自治区,871
2月27日,0.555,0.419,宁夏回族自治区,872
2月28日,0.6,0.414,宁夏回族自治区,873
3月2日,0.652,0.388,宁夏回族自治区,874
3月3日,0.653,0.382,宁夏回族自治区,875
3月4日,0.661,0.376,宁夏回族自治区,876
3月5日,0.673,0.375,宁夏回族自治区,877
3月6日,0.69,0.37,宁夏回族自治区,878
3月9日,0.712,0.362,宁夏回族自治区,879
3月10日,0.736,0.358,宁夏回族自治区,880
3月11日,0.75,0.355,宁夏回族自治区,881
3月12日,0.747,0.351,宁夏回族自治区,882
3月13日,0.785,0.346,宁夏回族自治区,883
3月16日,0.843,0.333,宁夏回族自治区,884
3月17日,0.86,0.327,宁夏回族自治区,885
3月18日,0.856,0.319,宁夏回族自治区,886
3月19日,0.882,0.311,宁夏回族自治区,887
3月20日,0.909,0.301,宁夏回族自治区,888
3月23日,0.92,0.28,宁夏回族自治区,889
3月24日,0.93,0.274,宁夏回族自治区,890
3月25日,0.926,0.266,宁夏回族自治区,891
2月10日,0.356,0.0,重庆,892
2月11日,0.346,0.0,重庆,893
2月12日,0.347,0.0,重庆,894
2月13日,0.348,0.0,重庆,895
2月14日,0.347,0.0,重庆,896
2月17日,0.365,0.0,重庆,897
2月18日,0.362,0.0,重庆,898
2月19日,0.378,0.0,重庆,899
2月20日,0.388,0.0,重庆,900
2月21日,0.417,0.0,重庆,901
2月24日,0.517,0.0,重庆,902
2月25日,0.527,0.0,重庆,903
2月26日,0.534,0.0,重庆,904
2月27日,0.532,0.0,重庆,905
2月28日,0.55,0.0,重庆,906
3月2日,0.61,0.0,重庆,907
3月3日,0.608,0.0,重庆,908
3月4日,0.631,0.0,重庆,909
3月5日,0.654,0.0,重庆,910
3月6日,0.672,0.0,重庆,911
3月9日,0.706,0.0,重庆,912
3月10日,0.726,0.0,重庆,913
3月11日,0.721,0.0,重庆,914
3月12日,0.745,0.0,重庆,915
3月13日,0.754,0.0,重庆,916
3月16日,0.796,0.0,重庆,917
3月17日,0.804,0.0,重庆,918
3月18日,0.819,0.0,重庆,919
3月19日,0.825,0.0,重庆,920
3月20日,0.843,0.0,重庆,921
3月23日,0.855,0.0,重庆,922
3月24日,0.854,0.0,重庆,923
3月25日,0.859,0.0,重庆,924
2月10日,0.431,0.469,海南,925
2月11日,0.42,0.467,海南,926
2月12日,0.429,0.466,海南,927
2月13日,0.419,0.465,海南,928
2月14日,0.44,0.464,海南,929
2月17日,0.434,0.459,海南,930
2月18日,0.443,0.457,海南,931
2月19日,0.466,0.456,海南,932
2月20日,0.485,0.453,海南,933
2月21日,0.502,0.452,海南,934
2月24日,0.573,0.442,海南,935
2月25日,0.576,0.437,海南,936
2月26日,0.588,0.432,海南,937
2月27日,0.596,0.428,海南,938
2月28日,0.605,0.424,海南,939
3月2日,0.682,0.396,海南,940
3月3日,0.686,0.387,海南,941
3月4日,0.678,0.379,海南,942
3月5日,0.662,0.374,海南,943
3月6日,0.696,0.37,海南,944
3月9日,0.753,0.354,海南,945
3月10日,0.741,0.344,海南,946
3月11日,0.752,0.337,海南,947
3月12日,0.771,0.331,海南,948
3月13日,0.785,0.328,海南,949
3月16日,0.791,0.316,海南,950
3月17日,0.806,0.311,海南,951
3月18日,0.81,0.307,海南,952
3月19日,0.814,0.304,海南,953
3月20日,0.828,0.303,海南,954
3月23日,0.847,0.301,海南,955
3月24日,0.845,0.299,海南,956
3月25日,0.853,0.3,海南,957
2月10日,0.427,0.715,内蒙古自治区,958
2月11日,0.418,0.702,内蒙古自治区,959
2月12日,0.419,0.692,内蒙古自治区,960
2月13日,0.416,0.682,内蒙古自治区,961
2月14日,0.403,0.673,内蒙古自治区,962
2月17日,0.44,0.653,内蒙古自治区,963
2月18日,0.444,0.642,内蒙古自治区,964
2月19日,0.451,0.63,内蒙古自治区,965
2月20日,0.452,0.618,内蒙古自治区,966
2月21日,0.466,0.608,内蒙古自治区,967
2月24日,0.588,0.585,内蒙古自治区,968
2月25日,0.597,0.576,内蒙古自治区,969
2月26日,0.621,0.568,内蒙古自治区,970
2月27日,0.634,0.561,内蒙古自治区,971
2月28日,0.659,0.552,内蒙古自治区,972
3月2日,0.722,0.528,内蒙古自治区,973
3月3日,0.703,0.521,内蒙古自治区,974
3月4日,0.723,0.513,内蒙古自治区,975
3月5日,0.742,0.507,内蒙古自治区,976
3月6日,0.754,0.499,内蒙古自治区,977
3月9日,0.787,0.492,内蒙古自治区,978
3月10日,0.793,0.484,内蒙古自治区,979
3月11日,0.805,0.478,内蒙古自治区,980
3月12日,0.802,0.472,内蒙古自治区,981
3月13日,0.826,0.464,内蒙古自治区,982
3月16日,0.856,0.452,内蒙古自治区,983
3月17日,0.857,0.449,内蒙古自治区,984
3月18日,0.85,0.445,内蒙古自治区,985
3月19日,0.872,0.44,内蒙古自治区,986
3月20日,0.906,0.432,内蒙古自治区,987
3月23日,0.933,0.422,内蒙古自治区,988
3月24日,0.929,0.419,内蒙古自治区,989
3月25日,0.928,0.415,内蒙古自治区,990
2月10日,0.317,0.992,天津,991
2月11日,0.306,0.985,天津,992
2月12日,0.308,0.979,天津,993
2月13日,0.316,0.973,天津,994
2月14日,0.274,0.969,天津,995
2月17日,0.353,0.957,天津,996
2月18日,0.361,0.949,天津,997
2月19日,0.365,0.94,天津,998
2月20日,0.371,0.931,天津,999
2月21日,0.389,0.921,天津,1000
2月24日,0.453,0.89,天津,1001
2月25日,0.451,0.877,天津,1002
2月26日,0.474,0.864,天津,1003
2月27日,0.479,0.853,天津,1004
2月28日,0.491,0.841,天津,1005
3月2日,0.568,0.8,天津,1006
3月3日,0.56,0.788,天津,1007
3月4日,0.574,0.777,天津,1008
3月5日,0.584,0.766,天津,1009
3月6日,0.599,0.754,天津,1010
3月9日,0.611,0.725,天津,1011
3月10日,0.653,0.714,天津,1012
3月11日,0.667,0.705,天津,1013
3月12日,0.672,0.694,天津,1014
3月13日,0.692,0.684,天津,1015
3月16日,0.739,0.652,天津,1016
3月17日,0.747,0.64,天津,1017
3月18日,0.758,0.629,天津,1018
3月19日,0.748,0.619,天津,1019
3月20日,0.783,0.608,天津,1020
3月23日,0.815,0.577,天津,1021
3月24日,0.815,0.568,天津,1022
3月25日,0.829,0.559,天津,1023
2月10日,0.35,0.976,北京,1024
2月11日,0.325,0.963,北京,1025
2月12日,0.326,0.953,北京,1026
2月13日,0.336,0.943,北京,1027
2月14日,0.29,0.937,北京,1028
2月17日,0.389,0.909,北京,1029
2月18日,0.378,0.899,北京,1030
2月19日,0.376,0.89,北京,1031
2月20日,0.375,0.88,北京,1032
2月21日,0.384,0.874,北京,1033
2月24日,0.429,0.846,北京,1034
2月25日,0.417,0.837,北京,1035
2月26日,0.426,0.829,北京,1036
2月27日,0.422,0.821,北京,1037
2月28日,0.435,0.815,北京,1038
3月2日,0.493,0.792,北京,1039
3月3日,0.472,0.786,北京,1040
3月4日,0.483,0.78,北京,1041
3月5日,0.483,0.774,北京,1042
3月6日,0.49,0.769,北京,1043
3月9日,0.526,0.753,北京,1044
3月10日,0.525,0.746,北京,1045
3月11日,0.533,0.74,北京,1046
3月12日,0.528,0.733,北京,1047
3月13日,0.545,0.728,北京,1048
3月16日,0.576,0.707,北京,1049
3月17日,0.574,0.7,北京,1050
3月18日,0.574,0.695,北京,1051
3月19日,0.571,0.687,北京,1052
3月20日,0.594,0.682,北京,1053
3月23日,0.62,0.663,北京,1054
3月24日,0.614,0.657,北京,1055
3月25日,0.623,0.651,北京,1056
