日期,复工指数,缺工指数,省份,序号
3月5日,0.795,0.204,广西壮族自治区,151
3月6日,0.788,0.194,广西壮族自治区,152
3月9日,0.868,0.173,广西壮族自治区,153
3月10日,0.855,0.166,广西壮族自治区,154
3月11日,0.847,0.158,广西壮族自治区,155
3月12日,0.838,0.149,广西壮族自治区,156
3月13日,0.861,0.139,广西壮族自治区,157
3月16日,0.852,0.123,广西壮族自治区,158
3月17日,0.821,0.117,广西壮族自治区,159
3月18日,0.84,0.111,广西壮族自治区,160
3月19日,0.839,0.105,广西壮族自治区,161
3月20日,0.881,0.098,广西壮族自治区,162
3月23日,0.903,0.087,广西壮族自治区,163
3月24日,0.89,0.09,广西壮族自治区,164
3月25日,0.876,0.1,广西壮族自治区,165
2月10日,0.659,0.987,西藏自治区,166
2月11日,0.656,0.976,西藏自治区,167
2月12日,0.663,0.963,西藏自治区,168
2月13日,0.674,0.944,西藏自治区,169
2月14日,0.69,0.929,西藏自治区,170
2月17日,0.71,0.862,西藏自治区,171
2月18日,0.705,0.839,西藏自治区,172
2月19日,0.717,0.835,西藏自治区,173
2月20日,0.734,0.81,西藏自治区,174
2月21日,0.762,0.78,西藏自治区,175
2月24日,0.601,0.729,西藏自治区,176
2月25日,0.683,0.719,西藏自治区,177
2月26日,0.722,0.711,西藏自治区,178
2月27日,0.714,0.696,西藏自治区,179
2月28日,0.749,0.683,西藏自治区,180
3月2日,0.801,0.647,西藏自治区,181
3月3日,0.804,0.636,西藏自治区,182
3月4日,0.82,0.621,西藏自治区,183
3月5日,0.825,0.618,西藏自治区,184
3月6日,0.824,0.621,西藏自治区,185
3月9日,0.848,0.586,西藏自治区,186
3月10日,0.842,0.561,西藏自治区,187
3月11日,0.851,0.547,西藏自治区,188
3月12日,0.856,0.533,西藏自治区,189
3月13日,0.863,0.515,西藏自治区,190
3月16日,0.871,0.467,西藏自治区,191
3月17日,0.885,0.45,西藏自治区,192
3月18日,0.898,0.432,西藏自治区,193
3月19日,0.896,0.426,西藏自治区,194
3月20日,0.914,0.418,西藏自治区,195
