Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/05/25,26779.254240793787,26803.999999988377,3.3469814715535904,8.123606676235795e-09,6654.602875621838,117.19283784234813,20124.65136517195,26459.0,27100.0,26483.0,27125.0,,,,
2020/05/26,26782.202461405763,26803.999999992586,2.9482206119755574,4.209141479805112e-09,6771.135354558559,116.53247893672051,20011.067106847204,26461.0,27104.0,26483.0,27126.0,,,,
2020/05/27,26784.799429591174,26803.999999995423,2.5969681854112423,2.837623469531536e-09,6887.009129853749,115.87377529519017,19897.790299737426,26465.0,27106.0,26483.0,27125.0,,,,
2020/05/28,26787.08699377569,26803.999999997704,2.2875641845166683,2.281012712046504e-09,7002.226105509217,115.21697565546765,19784.860888266474,26467.0,27108.0,26483.0,27126.0,,,,
2020/05/29,26789.102016640118,26803.999999997977,2.01502286442701,2.7284841053187847e-10,7116.788402051158,114.56229654194158,19672.31361458896,26470.0,27110.0,26484.0,27125.0,,,,
2020/05/30,26790.876968841527,26803.9999999991,1.774952201409178,1.1241354513913393e-09,7230.69832817966,113.90992612850187,19560.178640661867,26470.0,27112.0,26484.0,27125.0,,,,
2020/05/31,26792.44045247545,26804.000000000116,1.5634836339231697,1.014996087178588e-09,7343.958355788036,113.26002760837582,19448.482096687414,26473.0,27114.0,26484.0,27125.0,,,,
2020/06/01,26793.817661991685,26803.99999999883,1.3772095162348705,-1.2878444977104664e-09,7456.5710979816995,112.61274219366351,19337.246564009984,26473.0,27114.0,26483.0,27126.0,,,,
2020/06/02,26795.03079016154,26804.000000000116,1.2131281698566454,1.2878444977104664e-09,7568.539289732168,111.96819175046858,19226.491500429373,26476.0,27116.0,26484.0,27125.0,,,,
2020/06/03,26796.09938572074,26804.00000000058,1.0685955591980019,4.6202330850064754e-10,7679.8657708488,111.32648111663184,19116.23361487194,26475.0,27118.0,26484.0,27125.0,,,,
2020/06/04,26797.04066834267,26804.000000000622,0.9412826219304407,4.3655745685100555e-11,7790.553470996363,110.68770014756319,19006.48719734631,26477.0,27119.0,26484.0,27125.0,,,,
2020/06/05,26797.869806151095,26804.0000000002,0.8291378084250027,-4.220055416226387e-10,7900.605396509089,110.05192551272557,18897.264409642004,26478.0,27120.0,26484.0,27125.0,,,,
2020/06/06,26798.600160120044,26804.000000000306,0.7303539689492027,1.0550138540565968e-10,8010.024618792402,109.4192222833135,18788.575541327642,26478.0,27119.0,26483.0,27125.0,,,,
2020/06/07,26799.243499397377,26804.000000000007,0.6433392773324158,-2.9831426218152046e-10,8118.8142641187915,108.78964532638929,18680.429235278585,26478.0,27120.0,26484.0,27126.0,,,,
2020/06/08,26799.81019095353,26804.00000000012,0.5666915561523638,1.127773430198431e-10,8226.977504654536,108.16324053574499,18572.832686298992,26480.0,27121.0,26483.0,27125.0,,,,
2020/06/09,26800.30936663042,26803.99999999992,0.4991756768904452,-2.000888343900442e-10,8334.517550569932,107.54004591539524,18465.79181606049,26480.0,27122.0,26484.0,27125.0,,,,
2020/06/10,26800.749070301463,26804.00000000007,0.4397036710433895,1.4915713109076023e-10,8441.437643102827,106.92009253289507,18359.311427198634,26481.0,27122.0,26484.0,27125.0,,,,
2020/06/11,26801.136387496517,26804.000000000025,0.3873171950544929,-4.3655745685100555e-11,8547.741048462685,106.30340535985852,18253.395339033832,26481.0,27122.0,26483.0,27125.0,,,,
2020/06/12,26801.47755954858,26803.99999999975,0.34117205206348444,-2.764863893389702e-10,8653.431052476411,105.69000401372614,18148.04650707217,26481.0,27123.0,26484.0,27125.0,,,,
2020/06/13,26801.778084213092,26804.00000000003,0.3005246645116131,2.801243681460619e-10,8758.5109558824,105.07990340598917,18043.26712833069,26482.0,27123.0,26483.0,27126.0,,,,
2020/06/14,26802.042804236877,26803.99999999983,0.2647200237843208,-2.000888343900442e-10,8862.984070202008,104.4731143196077,17939.05873403487,26481.0,27124.0,26484.0,27125.0,,,,
2020/06/15,26802.275985400545,26803.999999999956,0.2331811636686325,1.2732925824820995e-10,8966.853714115205,103.86964391319634,17835.42227128534,26482.0,27123.0,26483.0,27125.0,,,,
2020/06/16,26802.481385257663,26804.00000000003,0.2053998571172997,7.275957614183426e-11,9070.123210281929,103.26949616672391,17732.358174975736,26482.0,27124.0,26484.0,27126.0,,,,
2020/06/17,26802.662313685505,26803.999999999796,0.18092842784244567,-2.3283064365386963e-10,9172.795882555476,102.6726722735475,17629.86643113003,26482.0,27125.0,26484.0,27126.0,,,,
2020/06/18,26802.82168620454,26804.000000000084,0.15937251903596916,2.874003257602453e-10,9274.875053542142,102.07917098666621,17527.9466326624,26483.0,27124.0,26484.0,27125.0,,,,
2020/06/19,26802.962071015114,26803.999999999913,0.14038481057286845,-1.709850039333105e-10,9376.36404246159,101.48898891944737,17426.598028553526,26483.0,27125.0,26483.0,27125.0,,,,
2020/06/20,26803.08573032371,26803.999999999818,0.12365930859596119,-9.458744898438454e-11,9477.266163280423,100.90212081883328,17325.819567043287,26483.0,27124.0,26484.0,27126.0,,,,
2020/06/21,26803.194656809548,26804.000000000317,0.10892648583831033,4.984030965715647e-10,9577.584723078257,100.31855979783359,17225.60993373129,26482.0,27124.0,26484.0,27126.0,,,,
