Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/07,210.0,819.0,0.0,0.0,4.0,0.0,206.0,182.0,239.0,763.0,876.0,2020-03-07,210.0,0.0,3.0,4.0
2020/03/08,255.478922826827,1110.6417550396727,45.47892282682699,291.6417550396727,7.4758760452679995,3.4758760452679995,248.003046781559,225.0,287.0,1046.0,1176.0,2020-03-08,228.0,18.0,3.0,4.0
2020/03/09,319.3039510936691,1518.2992264856962,63.82502826684214,407.65747144602346,11.726173630125407,4.250297584857408,307.5777774635437,285.0,355.0,1443.0,1595.0,2020-03-09,281.0,53.0,3.0,5.0
2020/03/10,408.6070887220038,2082.366492362585,89.3031376283347,564.067265876889,17.071310535073422,5.345136904948015,391.53577818693043,370.0,449.0,1994.0,2172.0,2020-03-10,337.0,56.0,3.0,5.0
2020/03/11,532.8141169144997,2851.8747472155674,124.20702819249584,769.5082548529822,23.95282653784893,6.881516002775509,508.86129037665074,488.0,579.0,2748.0,2957.0,2020-03-11,476.0,139.0,3.0,6.0
2020/03/12,703.957608284578,3881.5275778740715,171.14349137007832,1029.6528306585042,32.969233314255945,9.016406776407013,670.9883749703221,652.0,757.0,3760.0,4004.0,2020-03-12,645.0,169.0,4.0,8.0
2020/03/13,936.6592116336673,5224.1532240550505,232.70160334908928,1342.625646180979,44.91390596896609,11.944672654710146,891.7453056647012,877.0,997.0,5083.0,5367.0,2020-03-13,815.0,170.0,4.0,8.0
2020/03/14,1247.4756722814777,6917.25743838458,310.81646064781046,1693.10421432953,60.807675885436126,15.893769916470035,1186.6679963960416,1179.0,1317.0,6755.0,7080.0,2020-03-14,1375.0,560.0,4.0,15.0
2020/03/15,1653.3050174499438,8964.818735050532,405.82934516846603,2047.5612966659519,81.91404749449083,21.106371609054705,1571.3909699554529,1574.0,1734.0,8780.0,9150.0,2020-03-15,1563.0,188.0,4.0,17.0
2020/03/16,2168.771752820957,11320.112423067458,515.4667353710131,2355.2936880169254,109.72185573049092,27.807808236000085,2059.049897090466,2078.0,2260.0,11112.0,11529.0,2020-03-16,2221.0,658.0,4.0,22.0
2020/03/17,2803.0134650147525,13879.6786524521,634.2417121937956,2559.5662293846417,145.88271615980116,36.16086042931025,2657.1307488549514,2700.0,2907.0,13649.0,14111.0,2020-03-17,2353.0,132.0,4.0,23.0
2020/03/18,3556.880303316902,16497.152064945523,753.8668383021495,2617.473412493424,192.10193175993524,46.21921560013408,3364.7783715569667,3440.0,3674.0,16246.0,16749.0,2020-03-18,2772.0,419.0,4.0,25.0
2020/03/19,4421.754536860324,19015.538809226287,864.8742335434222,2518.386744280764,249.99932692473303,57.897395164797786,4171.755209935591,4292.0,4552.0,18746.0,19286.0,2020-03-19,3438.0,666.0,4.0,37.0
2020/03/20,5380.633231138674,21303.960938422082,958.8786942783499,2288.4221291957947,320.97132606510246,70.97199914036943,5059.661905073572,5237.0,5525.0,21019.0,21590.0,2020-03-20,4176.0,738.0,4.0,47.0
2020/03/21,6411.06135711443,23281.725557197544,1030.4281259757563,1977.7646187754617,406.0870270121121,85.11570094700966,6004.974330102318,6255.0,6568.0,22983.0,23581.0,2020-03-21,6113.0,1937.0,4.0,60.0
2020/03/22,7488.727967708918,24922.01490355182,1077.6666105944878,1640.289346354275,506.0374488448089,99.9504218326968,6982.690518864109,7320.0,7659.0,24613.0,25232.0,2020-03-22,7245.0,1132.0,131.0,229.0
2020/03/23,8590.540707371036,26239.907635297262,1101.8127396621176,1317.8927317454436,621.1377186820415,115.10026983723259,7969.402988688994,8409.0,8773.0,25923.0,26558.0,2020-03-23,8795.0,1550.0,131.0,251.0
