,Date,Remain_confirm,Official_confirmed,Predict_confirm,Dailynew_confirm,Predict_actual
0,2020/02/10,42006.04827734353,47374.0,48596.30457959732,908.4857282769935,69130.60312717283
1,2020/02/11,49709.92492153174,54369.0,57339.741485288054,8743.436905690729,69434.99982483577
2,2020/02/12,53464.28592110309,59791.0,62239.92855558981,4900.187070301756,69973.77448538759
3,2020/02/13,55257.83441289425,63707.15778,65229.8045779494,2989.876022359593,70628.93837257756
4,2020/02/14,56068.85121457357,66274.4307,67259.6896717003,2029.8850937509017,71344.07754630933
5,2020/02/15,56380.97777349319,68150.53945,68799.00680080996,1539.317129109666,72092.69601577175
6,2020/02/16,56435.353508123764,70113.2516,70081.52498839638,1282.5181875864128,72862.77569913212
7,2020/02/17,56353.923648683776,72011.61407,71225.27846110561,1143.753472709228,73649.25646711767
8,2020/02/18,56199.78883449825,73971.77825,72291.24313627256,1065.9646751669625,74450.38204736554
9,2020/02/19,55347.93555384086,74870.15139,73372.30056448557,1081.0574282129965,75303.95358303406
10,2020/02/20,53693.70470045852,75638.0,74549.09031199591,1176.7897475103455,76158.89232278886
11,2020/02/21,52010.44133400323,76035.0,75500.18415389906,951.0938419031498,77020.18228777101
12,2020/02/22,50478.07458003971,76683.0,76418.84330946767,918.6591555686118,77891.64527641021
13,2020/02/23,49106.87480174072,77150.0,77329.55925859869,910.7159491310159,78776.2188594763
14,2020/02/24,47890.432883967784,77658.0,78240.31058378896,910.7513251902747,79676.18145833504
15,2020/02/25,44320.63927940742,78046.0,78755.4018048017,515.0912210127372,79811.30196664948
16,2020/02/26,40932.60845838995,78497.0,79137.88608620505,382.48428140334175,79933.87084815034
17,2020/02/27,37749.79984499702,78824.0,79429.9362488953,292.0501626902551,80047.03943189571
18,2020/02/28,34780.2843374649,79251.0,79659.44177281078,229.5055239154717,80151.52877769122
19,2020/02/29,32022.69543065042,79824.0,79844.93197082462,185.49019801384566,80248.00461896799
20,2020/03/01,29470.06479958757,80026.0,79998.79196770403,153.8599968794151,80337.08161039554
21,2020/03/02,27112.280891954353,80140.0,80129.36532359975,130.57335589571812,80419.32724903073
22,2020/03/03,24937.65184947932,80255.0,80242.33002574812,112.96470214835789,80495.26549414238
23,2020/03/04,22933.886760239515,80389.0,80341.60000620002,99.26998045191068,80565.38010891285
24,2020/03/05,21088.70006269439,80516.0,80429.91664634267,88.31664014264423,80630.11774542514
25,2020/03/06,19390.172624824427,80591.0,80509.23753701209,79.32089066943263,80689.8907926908
26,2020/03/07,17826.956541171745,80632.0,80580.9925254421,71.75498842999332,80745.0800059464
27,2020/03/08,16388.380353758293,80668.0,80646.2528060622,65.26028062011756,80751.38712807058
28,2020/03/09,15064.491568594727,80685.0,80705.84295530168,59.59014923946779,80751.38712807058
29,2020/03/10,13677.126069589884,80699.0,80710.7785396604,4.935584358729103,80751.38712807058
30,2020/03/11,12566.079451199266,80708.0,80714.55141458887,3.7728749284669902,80751.38712807058
31,2020/03/12,11530.553511219614,80713.0,80717.95857252434,3.4071579354604187,80751.38712807058
32,2020/03/13,10567.703695089875,80729.0,80721.04903366562,3.090461141286142,80751.38712807058
33,2020/03/14,9674.071630977696,80733.0,80723.86223561336,2.813201947728885,80751.38712807058
34,2020/03/15,8845.857018414368,80737.0,80726.43040636538,2.5681707520343484,80751.38712807058
35,2020/03/16,8079.109203630089,80738.0,80728.78028753346,2.3498811680783547,80751.38712807058
36,2020/03/17,7369.860180156425,80739.0,80730.93439347045,2.154105936997439,80751.38712807058
37,2020/03/18,6714.215019935322,80739.0,80732.9119375236,1.9775440531393544,80751.38712807058
38,2020/03/19,6108.41149870469,80739.0,80734.72951868892,1.8175811653200071,80751.38712807058
39,2020/03/20,5548.857564519598,80739.0,80736.4016348003,1.6721161114037386,80751.38712807058
40,2020/03/21,5032.152990526724,80740.0,80737.9410697463,1.539434945985704,80751.38712807058
41,2020/03/22,4555.09985222556,80740.0,80739.35918867166,1.418118925355884,80751.38712807058
42,2020/03/23,4140.452986250186,80744.0,80740.66616557557,1.3069769039157106,80751.38712807058
43,2020/03/24,3782.839335111579,80744.0,80741.87116099708,1.204995421507192,80751.38712807058
44,2020/03/25,3451.913518808169,80744.0,80742.98246256736,1.1113015702903795,80751.38712807058
45,2020/03/26,3145.6592162154375,80745.0,80744.00759776033,1.0251351929564407,80751.38712807058
46,2020/03/27,2862.215642064073,80745.0,80744.95342554773,0.9458277874000487,80751.38712807058
47,2020/03/28,2599.8651546841083,80746.0,80745.82621209318,0.872786545452982,80751.38712807058
48,2020/03/29,1759.0,80747.0,80747.99123171123,2.165019618041697,80751.38712807058
49,2020/03/30,1614.238900325983,80747.0,80748.58246414148,0.9816324002549663,80751.38712807058
50,2020/03/31,1466.646330735439,,80749.66828920777,0.6954250962808146,80751.38712807058
51,2020/04/01,1321.3130679026563,,80750.16177830321,0.49348909544460184,80751.38712807058
52,2020/04/02,1181.2663177113466,,80750.5125152625,0.35073695929895626,80751.38712807058
53,2020/04/03,1048.3766513075898,,80750.76215555226,0.2496402897650114,80751.38712807058
54,2020/04/04,930.2508513654756,,80750.94007811822,0.17792256594475475,80751.38712807058
55,2020/04/05,819.8072341800653,,80751.06704386341,0.12696574519759452,80751.38712807058
56,2020/04/06,716.9386863349864,,80751.15775055133,0.09070668791355274,80751.38712807058
57,2020/04/07,621.3774705446632,,80751.22262139898,0.06487084764921747,80751.38712807058
58,2020/04/08,532.7666882004924,,80751.26906008055,0.04643868157472753,80751.38712807058
59,2020/04/09,450.70554257720505,,80751.30233332615,0.03327324561360001,80751.38712807058
60,2020/04/10,374.7776700825998,,80751.32619289521,0.023859569055275642,80751.38712807058
61,2020/04/11,304.56855349371466,,80751.34331478133,0.01712188610508747,80751.38712807058
62,2020/04/12,239.6759179999208,,80751.35560993645,0.012295155134779634,80751.38712807058
63,2020/04/13,179.7156386778661,,80751.36444446965,0.008834533195113181,80751.38712807058
64,2020/04/14,124.32479656509531,,80751.37079596659,0.0063514969351672335,80751.38712807058
65,2020/04/15,73.16294235562236,,80751.37536463366,0.004568667074636323,80751.38712807058
66,2020/04/16,25.91225082279561,,80751.3786524182,0.003287784536951221,80751.38712807058
67,2020/04/17,0.0,,80751.38101942257,0.002367004355619429,80751.38712807058
68,2020/04/18,0.0,,80751.38272416728,0.0017047447308868868,80751.38712807058
69,2020/04/19,0.0,,80751.38395236974,0.0012282024454179918,80751.38712807058
70,2020/04/20,0.0,,80751.38483751469,0.000885144954736461,80751.38712807058
71,2020/04/21,0.0,,80751.38547560279,0.0006380880986398552,80751.38712807058
72,2020/04/22,0.0,,80751.3859357104,0.00046010760161152575,80751.38712807058
73,2020/04/23,0.0,,80751.38626755557,0.0003318451817904133,80751.38712807058
74,2020/04/24,0.0,,80751.38650694398,0.00023938840968185104,80751.38712807058
75,2020/04/25,0.0,,80751.38667966795,0.00017272397599299438,80751.38712807058
76,2020/04/26,0.0,,80751.38680431258,0.00012464463543437887,80751.38712807058
77,2020/04/27,0.0,,80751.38689427511,8.996251199278049e-05,80751.38712807058
78,2020/04/28,0.0,,80751.3869592151,6.494000808743296e-05,80751.38712807058
79,2020/04/29,0.0,,80751.38700609794,4.6882823880878284e-05,80751.38712807058
80,2020/04/30,0.0,,80751.38703994927,3.385133823030628e-05,80751.38712807058
81,2020/05/01,0.0,,80751.38706439262,2.4443348593194972e-05,80751.38712807058
82,2020/05/02,0.0,,80751.38708204344,1.765081651683431e-05,80751.38712807058
83,2020/05/03,0.0,,80751.38709479118,1.2747746950481085e-05,80751.38712807058
84,2020/05/04,0.0,,80751.38710400052,9.209334166371264e-06,80751.38712807058
85,2020/05/05,0.0,,80751.3871106506,6.650090654147789e-06,80751.38712807058
86,2020/05/06,0.0,,80751.3871154538,4.80320341011975e-06,80751.38712807058
87,2020/05/07,0.0,,80751.38711892694,3.47313834936358e-06,80751.38712807058
88,2020/05/08,0.0,,80751.3871214368,2.5098506739595905e-06,80751.38712807058
89,2020/05/09,0.0,,80751.38712324752,1.810720277717337e-06,80751.38712807058
90,2020/05/10,0.0,,80751.3871245548,1.3072858564555645e-06,80751.38712807058
91,2020/05/11,0.0,,80751.38712549984,9.450322977500035e-07,80751.38712807058
92,2020/05/12,0.0,,80751.3871261855,6.856571417301892e-07,80751.38712807058
93,2020/05/13,0.0,,80751.3871266804,4.948979039909318e-07,80751.38712807058
94,2020/05/14,0.0,,80751.38712703457,3.541827027220279e-07,80751.38712807058
95,2020/05/15,0.0,,80751.3871272898,2.5522240321151907e-07,80751.38712807058
96,2020/05/16,0.0,,80751.38712747936,1.8955142877530307e-07,80751.38712807058
97,2020/05/17,0.0,,80751.38712761743,1.3807948562316594e-07,80751.38712807058
98,2020/05/18,0.0,,80751.3871277108,9.33596311369911e-08,80751.38712807058
99,2020/05/19,0.0,,80751.38712777795,6.716072675772011e-08,80751.38712807058
100,2020/05/20,0.0,,80751.38712783011,5.21540641784668e-08,80751.38712807058
101,2020/05/21,0.0,,80751.38712787483,4.4725311454385526e-08,80751.38712807058
102,2020/05/22,0.0,,80751.38712789846,2.3628672352060672e-08,80751.38712807058
103,2020/05/23,0.0,,80751.38712791528,1.6832927940413353e-08,80751.38712807058
104,2020/05/24,0.0,,80751.387127933,1.772241375874728e-08,80751.38712807058
105,2020/05/25,0.0,,80751.3871279395,6.482878234237432e-09,80751.38712807058
106,2020/05/26,0.0,,80751.38712794415,4.667526809498668e-09,80751.38712807058
107,2020/05/27,0.0,,80751.38712795396,9.795257938094435e-09,80751.38712807058
108,2020/05/28,0.0,,80751.38712795537,1.4006218407303107e-09,80751.38712807058
109,2020/05/29,0.0,,80751.38712795525,-1.0368239600211423e-10,80751.38712807058
110,2020/05/30,0.0,,80751.38712795949,4.225512384437025e-09,80751.38712807058
111,2020/05/31,0.0,,80751.38712796001,5.220499588176606e-10,80751.38712807058
112,2020/06/01,0.0,,80751.3871279622,2.1882442524656653e-09,80751.38712807058
113,2020/06/02,0.0,,80751.38712796256,3.7107383832335457e-10,80751.38712807058
114,2020/06/03,0.0,,80751.3871279633,7.403286872431636e-10,80751.38712807058
115,2020/06/04,0.0,,80751.38712796374,4.3110048864036793e-10,80751.38712807058
116,2020/06/05,0.0,,80751.38712796403,2.801243681460619e-10,80751.38712807058
117,2020/06/06,0.0,,80751.3871279643,2.874003257602453e-10,80751.38712807058
118,2020/06/07,0.0,,80751.38712796442,1.2005330063402655e-10,80751.38712807058
119,2020/06/08,0.0,,80751.38712796458,1.4551915228366854e-10,80751.38712807058
120,2020/06/09,0.0,,80751.38712796464,7.457856554538013e-11,80751.38712807058
121,2020/06/10,0.0,,80751.38712796464,-7.275957614183432e-12,80751.38712807058
122,2020/06/11,0.0,,80751.38712796466,1.4551915228366858e-11,80751.38712807058
123,2020/06/12,0.0,,80751.3871279646,-5.275069270282984e-11,80751.38712807058
124,2020/06/13,0.0,,80751.38712796457,-2.5465851649641994e-11,80751.38712807058
125,2020/06/14,0.0,,80751.38712796461,4.001776687800884e-11,80751.38712807058
126,2020/06/15,0.0,,80751.38712796476,1.4006218407303095e-10,80751.38712807058
127,2020/06/16,0.0,,80751.38712796476,-7.275957614183429e-12,80751.38712807058
128,2020/06/17,0.0,,80751.38712796471,-2.5465851649641997e-11,80751.38712807058
129,2020/06/18,0.0,,80751.38712796482,9.822542779147625e-11,80751.38712807058
130,2020/06/19,0.0,,80751.38712796502,2.1464074961841106e-10,80751.38712807058
131,2020/06/20,0.0,,80751.38712796505,2.9103830456733704e-11,80751.38712807058
132,2020/06/21,0.0,,80751.38712796483,-2.255546860396862e-10,80751.38712807058
133,2020/06/22,0.0,,80751.38712796466,-1.855369191616774e-10,80751.38712807058
134,2020/06/23,0.0,,80751.38712796482,1.546140993013978e-10,80751.38712807058
135,2020/06/24,0.0,,80751.3871279652,3.838067641481757e-10,80751.38712807058
136,2020/06/25,0.0,,80751.38712796499,-1.964508555829525e-10,80751.38712807058
137,2020/06/26,0.0,,80751.38712796457,-4.2018655221909274e-10,80751.38712807058
138,2020/06/27,0.0,,80751.38712796441,-1.5461409930139783e-10,80751.38712807058
139,2020/06/28,0.0,,80751.38712796502,6.039044819772243e-10,80751.38712807058
140,2020/06/29,0.0,,80751.38712796595,9.240466170012953e-10,80751.38712807058
141,2020/06/30,0.0,,80751.38712796557,-3.892637323588133e-10,80751.38712807058
142,2020/07/01,0.0,,80751.38712796397,-1.5788828022778032e-09,80751.38712807058
143,2020/07/02,0.0,,80751.38712796262,-1.3587850844487548e-09,80751.38712807058
144,2020/07/03,0.0,,80751.38712796295,3.383320290595293e-10,80751.38712807058
145,2020/07/04,0.0,,80751.38712796621,3.2632669899612665e-09,80751.38712807058
146,2020/07/05,0.0,,80751.38712796879,2.573870006017387e-09,80751.38712807058
147,2020/07/06,0.0,,80751.38712796525,-3.5433913581073284e-09,80751.38712807058
148,2020/07/07,0.0,,80751.38712795883,-6.41375663690269e-09,80751.38712807058
149,2020/07/08,0.0,,80751.38712795574,-3.105014911852777e-09,80751.38712807058
150,2020/07/09,0.0,,80751.38712796204,6.30825525149703e-09,80751.38712807058
151,2020/07/10,0.0,,80751.38712797822,1.61762727657333e-08,80751.38712807058
152,2020/07/11,0.0,,80751.3871279823,4.0872691897675395e-09,80751.38712807058
153,2020/07/12,0.0,,80751.38712796662,-1.5683326637372375e-08,80751.38712807058
154,2020/07/13,0.0,,80751.38712796831,1.6825651982799172e-09,80751.38712807058
155,2020/07/14,0.0,,80751.38712796415,-4.154571797698736e-09,80751.38712807058
156,2020/07/15,0.0,,80751.3871279661,1.95359461940825e-09,80751.38712807058
157,2020/07/16,0.0,,80751.38712796563,-4.583853296935559e-10,80751.38712807058
158,2020/07/17,0.0,,80751.38712796394,-1.6898411558941007e-09,80751.38712807058
159,2020/07/18,0.0,,80751.38712796393,-3.456079866737127e-11,80751.38712807058
160,2020/07/19,0.0,,80751.38712796578,1.8480932340025902e-09,80751.38712807058
161,2020/07/20,0.0,,80751.38712796516,-5.94809534959495e-10,80751.38712807058
162,2020/07/21,0.0,,80751.38712796546,2.7466739993542433e-10,80751.38712807058
163,2020/07/22,0.0,,80751.38712796499,-4.5838532969355583e-10,80751.38712807058
164,2020/07/23,0.0,,80751.38712796487,-1.255102688446641e-10,80751.38712807058
165,2020/07/24,0.0,,80751.38712796483,-3.6379788070917136e-11,80751.38712807058
166,2020/07/25,0.0,,80751.38712796473,-9.640643838793042e-11,80751.38712807058
167,2020/07/26,0.0,,80751.38712796483,1.0186340659856796e-10,80751.38712807058
168,2020/07/27,0.0,,80751.387127965,1.6916601452976465e-10,80751.38712807058
169,2020/07/28,0.0,,80751.38712796518,1.7462298274040222e-10,80751.38712807058
170,2020/07/29,0.0,,80751.38712796528,1.0913936421275139e-10,80751.38712807058
171,2020/07/30,0.0,,80751.38712796528,5.456968210637563e-12,80751.38712807058
172,2020/07/31,0.0,,80751.38712796522,-6.366462912410495e-11,80751.38712807058
173,2020/08/01,0.0,,80751.3871279651,-1.127773430198431e-10,80751.38712807058
174,2020/08/02,0.0,,80751.387127965,-1.1095835361629725e-10,80751.38712807058
175,2020/08/03,0.0,,80751.38712796493,-6.366462912410498e-11,80751.38712807058
176,2020/08/04,0.0,,80751.38712796492,-2.5465851649641987e-11,80751.38712807058
177,2020/08/05,0.0,,80751.38712796495,3.274180926382543e-11,80751.38712807058
178,2020/08/06,0.0,,80751.38712796498,3.4560798667371286e-11,80751.38712807058
