Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
2020/07/24,31152.22498133411,31152.22949152767,0.0013567060668719932,0.00113542817052803,29599.655245015765,42.067180398542405,1552.5697363183463,30808.0,31499.0,30807.0,31499.0,,,,,
2020/07/25,31152.2262749555,31152.230576650127,0.0012936213897773996,0.0010851224578800611,29640.612710370948,40.95746535518265,1511.6135645845534,30807.0,31499.0,30807.0,31498.0,,,,,
2020/07/26,31152.227509113043,31152.231614203945,0.001234157542057801,0.0010375538186053745,29680.489733739443,39.87702336849543,1471.7377753736,30807.0,31499.0,30806.0,31499.0,,,,,
2020/07/27,31152.22868717886,31152.232606747966,0.0011780658169300295,0.0009925440208462533,29719.314816089456,38.82508235001296,1432.913871089404,30806.0,31499.0,30807.0,31498.0,,,,,
2020/07/28,31152.229812296227,31152.233556676296,0.001125117367337225,0.0009499283296463545,29757.115706721932,37.800890632475785,1395.1141055742955,30807.0,31499.0,30806.0,31499.0,,,,,
2020/07/29,31152.230887396665,31152.234466229922,0.001075100437446963,0.0009095536261156667,29793.91942282081,36.803716098878795,1358.3114645758542,30807.0,31499.0,30806.0,31498.0,,,,,
2020/07/30,31152.231915217122,31152.235337508617,0.001027820457238704,0.0008712786948308349,29829.75226898664,35.832846165827505,1322.479646230484,30807.0,31498.0,30807.0,31499.0,,,,,
2020/07/31,31152.23289831477,31152.23617248118,0.0009830976487137377,0.0008349725649168249,29864.639856035094,34.887587048455316,1287.5930422796773,30806.0,31499.0,30807.0,31500.0,,,,,
2020/08/01,31152.233839080283,31152.23697299456,0.0009407655124960002,0.0008005133786355145,29898.607119083397,33.96726304830372,1253.626719996886,30807.0,31499.0,30805.0,31498.0,,,,,
2020/08/02,31152.234739750846,31152.237740782897,0.0009006705622596201,0.000767788336816011,29931.678335534853,33.07121645145526,1220.556404215993,30807.0,31499.0,30806.0,31499.0,,,,,
2020/08/03,31152.23560242196,31152.238477475752,0.0008626711132819764,0.0007366928548435681,29963.877142587968,32.19880705311516,1188.3584598339912,30806.0,31498.0,30807.0,31499.0,,,,,
2020/08/04,31152.236429056724,31152.23918460479,0.000826634764962364,0.0007071290383464657,29995.22655366866,31.349411080693244,1157.009875388063,30806.0,31498.0,30806.0,31500.0,,,,,
2020/08/05,31152.237221496674,31152.239863611318,0.000792439950600965,0.0006790065272070933,30025.748975412233,30.522421743571613,1126.488246084442,30806.0,31498.0,30807.0,31498.0,,,,,
2020/08/06,31152.237981469643,31152.240515851863,0.0007599729688081425,0.0006522405456053093,30055.466223155232,29.71724774299946,1096.7717583144113,30807.0,31499.0,30807.0,31500.0,,,,,
2020/08/07,31152.238710598675,31152.241142604467,0.0007291290312423371,0.0006267526041483507,30084.39953693678,28.93331378154835,1067.8391736618942,30806.0,31498.0,30808.0,31499.0,,,,,
2020/08/08,31152.23941040915,31152.24174507376,0.0006998104763624724,0.0006024692920618691,30112.56959650969,28.17005957290894,1039.6698138994616,30807.0,31498.0,30808.0,31499.0,,,,,
2020/08/09,31152.240082335364,31152.2423243958,0.0006719262128171977,0.0005793220407213084,30139.99653599331,27.426939483619208,1012.2435463420552,30807.0,31499.0,30806.0,31499.0,,,,,
