Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/18,545.1562984534575,2061.2417374312504,105.28946342513649,270.22837100806987,3.4466492726997386,1.1973438638864025,541.7096491807578,2020-03-18,464.0,68.0,3.0,3.0
2020/03/19,663.1584497873755,2360.2867010446234,118.00215133391805,299.04496361337306,4.914046116449354,1.4673968437496154,658.2444036709262,2020-03-19,694.0,230.0,3.0,3.0
2020/03/20,795.0784599240505,2689.8979071335684,131.92001013667505,329.611206088945,6.683412508169266,1.7693663917199123,788.3950474158813,2020-03-20,833.0,139.0,4.0,4.0
2020/03/21,942.1526641473124,3051.6046369805035,147.07420422326186,361.7067298469351,8.78957801739282,2.106165509223554,933.3630861299196,2020-03-21,995.0,162.0,6.0,6.0
2020/03/22,1105.6276657855524,3446.628345618439,163.47500163823997,395.02370863793567,11.270329930307572,2.4807519129147515,1094.3573358552449,2020-03-22,1120.0,125.0,6.0,7.0
2020/03/23,1286.7344528213723,3875.789304599645,181.10678703581993,429.160958981206,14.166400368233122,2.89607043792555,1272.5680524531392,2020-03-23,1236.0,116.0,7.0,8.0
2020/03/24,1486.657676140215,4339.412170095247,199.9232233188427,463.6228654956021,17.52138428018519,3.3549839119520666,1469.1362918600298,2020-03-24,1394.0,158.0,10.0,13.0
2020/03/25,1706.500550221978,4837.236645253149,219.84287408176306,497.82447515790136,21.381576842744177,3.8601925625589892,1685.118973379234,2020-03-25,1654.0,260.0,10.0,16.0
2020/03/26,1947.246316657749,5368.340584059632,240.74576643577097,531.1039388064837,25.79572096054925,4.414144117805073,1921.4505956971998,2020-03-26,1925.0,271.0,10.0,19.0
2020/03/27,2209.717662877553,5931.083516440232,262.47134621980376,562.7429323806,30.814658269781727,5.018937309232477,2178.903004607771,2020-03-27,2279.0,354.0,11.0,20.0
2020/03/28,2494.535999299614,6523.0785822124035,284.8183364220613,591.9950657721711,36.49088108857711,5.6762228187953845,2458.045118211037,2020-03-28,2631.0,352.0,11.0,22.0
2020/03/29,2802.0828481166927,7141.199444145403,307.5468488170786,618.1208619329991,42.877987810618784,6.387106722041672,2759.204860306074,2020-03-29,2817.0,186.0,11.0,27.0
2020/03/30,3001.0,7781.626543907809,198.91715188330727,640.4270997624062,48.0,5.122012189381216,2953.0,2020-03-30,3001.0,184.0,25.0,48.0
2020/03/31,3363.999360025757,8458.15138425015,362.99936002575714,676.5248403423411,55.66618865993947,7.666188659939472,3308.3331713658176,,,,,
