Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove,Official_cure
2020/03/18,2443.8543169435266,4802.034174243725,439.7878576481726,868.4079544969613,25.0379439801961,2.9901953401897607,2418.8163729633307,2348.0,2541.0,4667.0,4939.0,2020-03-18,2626.0,676.0,157.0,53.0
2020/03/19,2980.035100843909,5847.944085480699,536.1807839003823,1045.909911236974,28.687070181747238,3.6491262015511374,2951.3480306621614,2873.0,3088.0,5699.0,5998.0,2020-03-19,3269.0,643.0,197.0,53.0
2020/03/20,3630.07604201124,7096.015947478926,650.0409411673313,1248.0718619982272,33.137299871863576,4.450229690116338,3596.9387421393767,3513.0,3748.0,6932.0,7262.0,2020-03-20,3983.0,714.0,244.0,67.0
2020/03/21,4412.629603876586,8568.916241085206,782.5535618653457,1472.9002936062798,38.55529302688979,5.417993155026217,4374.074310849696,4283.0,4543.0,8388.0,8751.0,2020-03-21,5066.0,1083.0,244.0,67.0
2020/03/22,5346.670187524472,10284.35043300565,934.0405836478858,1715.4341919204435,45.13323945391284,6.5779464270230505,5301.5369480705585,5203.0,5491.0,10086.0,10484.0,2020-03-22,5741.0,675.0,349.0,67.0
2020/03/23,6450.1612245918095,12251.308866751826,1103.4910370673379,1966.9584337461765,53.08841109552029,7.95517164160745,6397.072813496289,6293.0,6608.0,12035.0,12469.0,2020-03-23,6650.0,909.0,470.0,135.0
2020/03/24,8077.0,14804.62804719726,1626.8387754081905,2553.3191804454345,557.0,503.9115889044797,7520.0,7901.0,8253.0,14566.0,15044.0,2020-03-24,8077.0,1427.0,557.0,135.0
2020/03/25,9559.464288276966,17244.224825350855,1482.4642882769658,2439.5967781535946,568.233898673352,11.233898673351973,8991.230389603614,9369.0,9752.0,16987.0,17502.0,,,,,
2020/03/26,11238.627192825606,19870.124301015392,1679.1629045486407,2625.899475664537,581.6066407189237,13.372742045571727,10657.020552106682,11032.0,11447.0,19594.0,20147.0,,,,,
2020/03/27,13107.020274893608,22621.681159143267,1868.3930820680016,2751.556858127875,597.379472120008,15.772831401084318,12509.6408027736,12883.0,13332.0,22328.0,22918.0,,,,,
2020/03/28,15145.577752023632,25421.29183788156,2038.5574771300235,2799.6106787382923,615.7953305985905,18.415858478582436,14529.782421425041,14905.0,15387.0,25110.0,25734.0,,,,,
2020/03/29,17323.2386609301,28181.1863349306,2177.6609089064677,2759.894497049041,637.0626288970706,21.267298298480114,16686.17603203303,17066.0,17582.0,27853.0,28512.0,,,,,
